Goth Kids 3: Dawn of the Posers,Henrietta,"Shut up, Mom! Leave me alone, you conformist bag of demon jizz!"
Black Friday,Cartman,"I'm not sure if his heart is in the right place. If he were to ever... [picks out a yellow rose and gives it to Kenny] switch sides, [Kenny sniffs it] it could make Stan's army problematic for us."
Black Friday,Kenny,(But Stan and Kyle are best friends)
Black Friday,Cartman,"True, but we can't let Kyle come in the way of what's rightfully ours. [stops and faces Kenny] Let's face it, Lady McCormick, this is really about you and me getting XBox Ones. The others are simply there to... help us get inside those doors."
Black Friday,Kenny,[strokes his mouse] (Yes. That's right.) [they resume the walk]
Black Friday,Cartman,"You have a strong influence over the rest of the men, Lady McCormick. All I'm saying is when the time comes, I might need you to... use that influence to have Kyle taken care of. Do we understand each other?"
Black Friday,Kenny,"(Yes, I believe we do.)"
Black Friday,Thompson,"Hey, you damned kids! [Cartman and Kenny turn to face the voice, which turns out to be a man looking out his bedroom window on the second floor of his house] Get the hell out of my yard!"
Black Friday,Cartman,"Fuck you, dude! This is the Garden of Andros!"
Black Friday,Thompson,"No, it's my damned garden and I'm sick of you kids dressin' up and havin' talks of betrayal in it!"
Black Friday,Scene Description,"The mall, night. The mall is closed, and Randy makes the rounds, buzzing to himself. He stops by RadioHut to check out the specials"
Black Friday,Randy,"Seventy-inch television. Huh that would be good. Oooo, but 80% off a computer. Huh, maybe I'll be able to snag both."
Black Friday,Voice,"Doin' alright there, Rookie? [A hand falls on Randy's left shoulder, startling him]"
Black Friday,Randy,Whoa! Haha. [recognizing Old Cap] Yes sir!
Black Friday,Old Cap,"Sorry, I didn't mean to scare you."
Black Friday,Randy,"No, I was just uh, looking at all these great things I can't afford, heh."
Black Friday,Old Cap,"Listen, uh... I know why you took this part-time job."
Black Friday,Randy,"You-d, you do?"
Black Friday,Old Cap,"I see it in you. You care about people. [smiles] Same reason I do it every year. [takes Randy for a walk] You remind me of my son. He died on Black Friday in '89. Guess I'm still trying to save him. [stops] Look, I just want to say I... I really appreciate what you're doing. I promised my wife this would be my last Black Friday I worked. When I see folks like you, it... makes me hopeful that people will still be okay."
Black Friday,Randy,[going with it] Yeah... awesome...
Black Friday,Old Cap,"No, damn it! [noticing something outside] No lining up behind the velvet rope! [goes towards the entrance] God they just don't listen! [Randy sighs and buzzes to himself more soberly]"
Black Friday,Scene Description,"The PS4 army's tent, night. A soldier is keeping watch next to the tent"
Black Friday,Jimmy,"C-C-Cartman's army is getting bigger every day. In addition to the Federation and the kindergartners, the XBox army now also has the kids who play Harry Potter, the jocks, the swim team, and the glee club."
Black Friday,Craig,"Word is that the sixth graders all prefer XBox too, and will team up with Cartman as well."
Black Friday,Stan,And who do we have on our side?
Black Friday,Jimmy,"Uh besides us, it's the book club and Janice Pinkerton."
Black Friday,Stan,Did you ask the Vamp kids?
Black Friday,Craig,They're still undecided.
Black Friday,Stan,"[walks towards the tent's entrance] There has to be a way to get people on the fence to join our side. [looks at the campfire outside, around which sit Tweek and two other boys]"
Black Friday,Boy,Playstation...
Black Friday,Jimmy,"Look, Sir Stan, it's probably time to give this up."
Black Friday,Craig,"We're just a dying breed, Stan. XBox is going to win this whole thing."
Black Friday,Stan,So we're just gonna let other kids decide which game system we all play on? What would they do on Game of Thrones? What would they do when things look their darkest?
Black Friday,Scene Description,"Sony Corporation, Japan, night. The head of the corporation is humping a woman from behind on his desk, in his office. Two board members arrive and one of them clears his throat."
Black Friday,Corporate head,"Huh? Isogashii yo! [I'm busy!""]"
Black Friday,Member 1,"Sorry to disturb you sir, but we thought you should see this. [pulls out a flier]"
Black Friday,Corporate head,"[gets down from his desk and puts on his robe] Omae-ya kikei [""You freak""]. [the woman gets off the table and skulks away while the corporate head walks to the board members] Jishu, taihen ne. [""Geez, how dreadful""]'[takes the flier and looks at it. It's a flier Cartman had made up and distributed everywhere, even Japan] Winter is comingu. Choose side-o. Nani kore? [""What is this?""]"
Black Friday,Member 1,"Just a small down in Middle America, but apparently, a war is escalating."
Black Friday,Member 2,"Sir, if this were to become a news story, and if the first people inside their mall all got XBoxes... well it clearly looks bad for our image."
Black Friday,Corporate head,"[looks more closely at the flier] So desu ne... [""I see...""]"
Black Friday,Scene Description,"South Park Mall, day. A Channel 9 News reporter is on camera"
Black Friday,Reporter 2,"What's going to be the big item everyone goes for this Black Friday? It just might be the PlayStation 4. Sony has just announced they offering a special Black Friday bundle, called the ""Brack Friday Bunduru,"" which will include four controllers, a map of Japan, a hundred dollar rebate, and, allow you to automatically pre-order for Metal Gear Solid V. No doubt Sony has just raised the stakes."
Black Friday,Scene Description,"Cartman's backyard, day. There are more kids in the yard now, all honing their skills for the coming battle. Cartman walks among them"
Black Friday,Cartman,"Yes. Good, Federation kids. You're learning to fight with your hands! Keep pushing, kindergartners! [walks further along to Kyle, who's sitting on a tree stump.] Sir Kyle, I know that Sony's offering a special Brack Friday Bunduru. You know the XBox is still better, right?"
Black Friday,Kyle,"Yeah, but, why can't XBox automatically let you pre-order Metal Gear Solid V?"
Black Friday,Cartman,"Sir Kyle, pre-order doesn't mean shit, okay? When you pre-order a game, you're just committing to paying for something that some assholes in California haven't even finished working on yet. You know what you get for pre-ordering a game? A big dick in your mouth."
Black Friday,Scene Description,"South Park Mall, day. The crowd at the Black Friday line has gotten bigger and the clamoring has gotten louder. Randy is keeping the peace."
Black Friday,Randy,"Alright, listen up. [the crowd quiets down] The mall is no longer allowing people to line up for Black Friday until Thanksgiving night. [the clamoring resumes] It's okay. To hold places in line we're handing out wristbands. [the crowd knocks down the rope and overwhelms him] Augh! Hold on! Oh God!"
Black Friday,Shopper 6,Wristbands!
Black Friday,Old Cap,"[sees the commotion and arrives to restore order] Back! Back, all of you! [the other guards come to help out] If that's how you are, there'll be no wristbands! No go! [delivers a left jab to a woman in front of him]"
Black Friday,Shopper 7,Oh!
Black Friday,Old Cap,Back away! [Shopper 1 comes up behind him and stabs him]
Black Friday,Shopper 4,"I'm getting my son that Elmo doll, you fuck! [pulls the knife out and rushes away. Old Cap collapses]"
Black Friday,Randy,"No! [runs to Old Cap's side as more guards exit the mall. Randy reaches him first, and the other guards gather around them]"
Black Friday,Old Cap,You did good. The watch is yours now.
Black Friday,Randy,No! You can't die! Everybody really likes you!
Black Friday,Old Cap,"This is what we signed up for. Right, my friend?"
Black Friday,Randy,"No, I was lying to you! I took this job... to be at the front of the line on Black Friday."
Black Friday,Old Cap,"Heh. Now you know how serious this is. Whatever your intentions before, protect this town. You are in charge now. Take this. [puts his hand over his left eye and... pulls off what turns out to be an adhesive eye patch and places it on Randy's left eye] Don't let... Black Friday... be the end. [dies. The other guards stay around, not knowing what to do]"
Black Friday,Randy,[rises] Get back inside. We have work to do. [the guards file back into the mall]
Black Friday,Scene Description,"A backyard, night. Its surroundings are a bit shabby - an overflowing trash can, an old lounge chair... Stan is facing Craig and Jimmy, and a few seconds later, turns around"
Black Friday,Stan,"When we started this fight... it was because we were tired of XBox people telling us Playstation sucks! Now... we have an army of our own! [the army is shown, and it includes the Goths, the Vamps, the handicapped kids, and some first graders. The house behind them only has one story, and it looks run down. A security grill is falling off one of the windows and the fence is in tatters. The army cheers for itself] I can't guarantee you will live, but I can guarantee that before this is over... the winner of the console wars will be decided. [more cheering. A familiar figure sits on a throne...] Our new leader has joined us to help make sure that system is the PS4! [he turns around and unsheathes his sword, raising it to honor the new leader]All hail the Princess! [points the sword at her, and more cheering follows. Princess Kenny, Lady McCormick, has arrived]"
Black Friday,PS4 Army,"The Princess! Yeah! [a mouse crawls into view, on the Princess's left shoulder, and roars]"
A Song of Ass and Fire,Scene Description,"Kenny provides a recap of what happened last week on the show, with clips from that episode."
A Song of Ass and Fire,Kenny,"Previously, on South Park."
A Song of Ass and Fire,Scene Description,"The intro follows with the boys dresses as fantasy figures, and dramatic music matches them. Next, a white screen appears, with a silhouette of a black wall and a crow on it. The crow calls out"
A Song of Ass and Fire,Narrator,"Now let me tell you, child, of a war that is about to come. [turns out the wall is the two consoles over which the war will be fought - the PS4 and the XBox - and the crow is on the display for the XBox One.] Since time unremembered there have been two. [the crow hops from the XBox One display to the PS4 display] One dark and unforgiving, the other pure and filled with light. [next is a silhouette of a woman looking at South Park Mall from a pile of rocks] At the dawn of war, I stand alone, looking out at would be the last battlefield, for winter is coming, and I... am a princess. [the woman is Princess Kenny] Once a common lady of the dark army, but, denied my right to be called princess by birth, [Kenny hops off the rocks and walks] I've betrayed my kind, [Kenny enters EVGames] and now I have chosen my side: that which I believe is best for all, [Kenny flips through the games and chooses Vomit Cops, then plays it] for it has the dual-shock controller with a speakers and a touchpad interface. [Kenny walks home] Our land is split in two, brother against brother, friend versus friend. [enters his house and walks past his parents] My parents will fight on Black Friday as well. For what? I do not know."
A Song of Ass and Fire,Stuart,What the hell is he wearin' now?
A Song of Ass and Fire,Narrator,"[walks out to the back yard and sits on her throne] My followers, though few in number, shall help see me through until I am finally accepted as a princess by all. I cannot rest, for I know that even now, the enemy is training for battle, also preparing for winter."
A Song of Ass and Fire,Scene Description,"XBox One army base, day. As the rest of the army watches, Butters and Scott do some swordplay. Scott's tongue is hanging out of his mouth"
A Song of Ass and Fire,Scott,"En garde! [Butters takes up his sword and swordplay resumes. While the crowd cheers the swords-boys on, Cartman is not impressed, and he buries his nose in his hand while squeezing his eyes shut]"
A Song of Ass and Fire,Cartman,"Alright, stop, stop, stop! [leaves his chair and walks up to Scott and Butters] This is NOT how you fight! You think this is a joke?! On Black Friday, there's gonna be thousands of shoppers trying to get inside that mall keeping you from getting Xbox Ones! So what do we do?! We survey each enemy, and we attack their weak spots! Scott Malkinson has diabetes, so we hit him in his weak spot! [swings his staff at Scott's mouth and lands it, making Scott's tongue go back in his mouth]"
A Song of Ass and Fire,Scott,Aaah God ow sorry...
A Song of Ass and Fire,Cartman,"There's another army out there who thinks they're better than us, and we are not going to be beat by that traitor whore Kenny! Get back to training! [leaves]"
A Song of Ass and Fire,Butters,"[not sure what to do next, then swats Scott on his back] Yeah!"
A Song of Ass and Fire,Scott,[falls onto his knees] Ah!
A Song of Ass and Fire,Kyle,"[catches up to Cartman] Cartman, we should probably talk about our chances."
A Song of Ass and Fire,Cartman,"The men are just inexperienced, Sir Kyle. They need more training."
A Song of Ass and Fire,Kyle,"It's not enough! Ever since Kenny switched sides, there are more kids that wanna go with PS4 on Black Friday."
A Song of Ass and Fire,Cartman,"That Goddamn traitor! You know why Kenny's doing this, right? Because he wanted to be a princess, and I wouldn't let him! [they go through the sliding door] I said, ""You can be a chick, Kenny, but there's only one ruler, and that's me!"" [reaches his refrigerator and opens it, looking for something to consume]"
A Song of Ass and Fire,Kyle,"Sony released the PS4s, Cartman. They're being reviewed. People are liking them."
A Song of Ass and Fire,Cartman,"[turns around, holding a glass of milk] I guarantee you Kenny had something to do with Sony offering a Brack Friday Bunduru! [takes a swig of it] Just keep them in training, Sir Kyle. Two can play at Kenny's backstabbing game. [leaves, forgetting to close the refrigerator door]"
A Song of Ass and Fire,Scene Description,"Cartman's room, moments later. Cartman is at his desk placing a call, still grousing about Kenny"
A Song of Ass and Fire,Cartman,"Stupid asshole! [looks at a picture of himself and Kenny at Casa Bonita putting their arms around each other, with dreamy expressions, as they used to be best buds. He folds it up and lays it on his desk, face down] Yes, hello. I'd like to speak to the president of XBox, please... The president of XBox, like, the head of XBox... Fine, CEO of Microsoft, whatever. Put him on. I need help blowing up PlayStation people... Eric Cartman. I'm a wizard and a king... A wizard-king, yes... No, I'm not king of wizards, I'm a king that happens to be a wizard. [lost his patience] Just put the CEO of Microsoft on the phone!"
A Song of Ass and Fire,Scene Description,"Microsoft headquarters, night. The CEO's office. Steve Ballmer is at his desk"
A Song of Ass and Fire,Secretary,"Mr. Ballmer, John and Dave from Marketing are here to see you. [the men come on in]"
A Song of Ass and Fire,Ballmer,"Yes, hello. How are things going out there?"
A Song of Ass and Fire,John,"Sir, the tides of war are changing."
A Song of Ass and Fire,Dave,"There's a king in Colorado, a young wizard who believes that Sony will have the upper hand if we do not come to his aid."
A Song of Ass and Fire,John,"He claims that with our help, his followers are prepared to fight to the death over which system is better."
A Song of Ass and Fire,Ballmer,"Uhh, what are you guys talking about? You sound ridiculous."
A Song of Ass and Fire,Dave,"[looks at John, then] There's... going to be a war in this small town on Black Friday, and it's all over the news!"
A Song of Ass and Fire,Ballmer,"Guys, these are console wars, not some epic battle for a kingdom. I mean, come on."
A Song of Ass and Fire,Dave,"...but, this one kid said that he's a wizard, and that Sony is helping-"
A Song of Ass and Fire,Ballmer,"Guys, guys guys! It's just a video game machine, alright? Microsoft's a company that... tries to be above all the petty commercialism, okay?"
A Song of Ass and Fire,Dave,Ok-Okay.
A Song of Ass and Fire,John,Okay. [they turn and leave]
A Song of Ass and Fire,Scene Description,The Channel 9 newsroom. The anchors are reporting
A Song of Ass and Fire,Tammy,"Well, Black Friday is still a few days away, but it looks like it's already claimed another fatality."
A Song of Ass and Fire,Tom,"Niles Lawson is on the scene, and Niles, what are you hearing?"
A Song of Ass and Fire,Niles,"[holding in his left arm a giant candy cane, with blood stains along the hooked end] Tom, tragedy stuck last night when mall security officer Miles ""Happy"" Davis was beaten to death with this candy cane after telling a mother she couldn't line up for Black Friday until Thursday night. In honor of the slain mall security officer, the mall has officially decided to drop another 10% off Black Friday deals!"
A Song of Ass and Fire,Scene Description,"The Wall of Honor, established in 1974. A framed picture of the slain officer is placed on a shelf on the wall, and a small bouquet of flowers placed in front of that"
A Song of Ass and Fire,Randy,Happy was a good man. Too good to have died in such a brutal but festive manner.
A Song of Ass and Fire,Guard 3,[runs up to Randy] Captain! Captain! The mall is dropping the Black Friday sale another 10%.
A Song of Ass and Fire,Guard 4,What?
A Song of Ass and Fire,Guard 5,Oh my God.
A Song of Ass and Fire,Guard 6,They can't do that!
A Song of Ass and Fire,Guard 7,What? That's 90% off!
A Song of Ass and Fire,Guard 8,Oh God! They're back! The shoppers are back! [the camera pulls back to reveal a large crowd of shoppers slowly moving towards the mall. One of them holds a flyer for the new Black Friday deal. The fog is so low it looks soupy]
A Song of Ass and Fire,Randy,Everybody stay put! I'll handle this. [exits the mall]
A Song of Ass and Fire,Scene Description,"Outside the mall, night. The crowd continues its somewhat slow march towards the mall, but a main road and parking lot stand between them and the mall"
A Song of Ass and Fire,Randy,"[through a bullhorn] If you are here for Black Friday, you cannot be on mall property until midnight on Thanksgiving."
A Song of Ass and Fire,Shopper 6,We're not on mall property.
A Song of Ass and Fire,Randy,"Well, you're about to be."
