The Biggest Douche in the Universe,Chef,"Eric, you're okay! [the others gather around him. Liane kneels to hug him]"
The Biggest Douche in the Universe,Liane,"Oh, baby, your time is back!"
The Biggest Douche in the Universe,Nellie,[lays a hand on Cartman's head and pronounces] This child is clean.
The Biggest Douche in the Universe,Scene Description,The John Edward studio.
The Biggest Douche in the Universe,Announcer,"Ladies and Gentlemen, it's ""Psychic Showdown."" Here are John Edward, and Stan Marsh. [both of them enter and get on stage. The studio audience applauds]"
The Biggest Douche in the Universe,John Edward,"Thank you. [the applause dies down. He turns to Stan] Alright, asshole! I know you're here to try to throw me off, so go ahead. Give me your best shot!"
The Biggest Douche in the Universe,Stan,"No, I don't wanna talk to you. I wanna talk to the audience."
The Biggest Douche in the Universe,John Edward,Wah-why?
The Biggest Douche in the Universe,Stan,"You see, I learned something today. At first I thought you were all just stupid, listening to this douche's advice, but now I understand that you're all here because you're scared. You're scared of death and he offers you some kind of understanding. You all want to believe in it so much, I know you do. You find comfort in the thought that your loved ones are floating around trying to talk to you, but think about it: Is that really what you want? To just be floating around after you die, having to talk to this asshole? [the audience is listening] We need to recognize this stuff for what it is: magic tricks. Because whatever's really going on in life and in death is much more amazing than this douche. [more audience listening, reflection. Kyle is present. One man claps, then others clap with him, then murmurs are heard]"
The Biggest Douche in the Universe,Audience members,Yes. Right. Yeah. [John looks angrily at Stan]
The Biggest Douche in the Universe,Kyle,"[now next to Stan with fake beard in hand] You're right, Stan. My Grandma isn't floating around, judging me and watching what I do. She's dead. Dead and gone forever."
The Biggest Douche in the Universe,Stan,Yeah.
The Biggest Douche in the Universe,John Edward,But I do have a special power! I know I do!
The Biggest Douche in the Universe,Stan,"There's nothing special about you, dude. Get over yourself."
The Biggest Douche in the Universe,John Edward,"God-damnit, I'm special!! [a rumble is heard, the studio shakes, and a bright light shines from above. John, Stan and Kyle look up in wonder]"
The Biggest Douche in the Universe,Man 11,What the?
The Biggest Douche in the Universe,Woman 8,"Aaaah! [the ceiling above the studio begins to crack, and a huge red spacecraft breaks through, descending to the ground. Stan and Kyle step back. The craft settles down and a door opens downward to become a staircase. Aliens appear and descend the stairs]"
The Biggest Douche in the Universe,Lead alien,"[with two noses, and a pair of eyes for each nose. The eyes stick out like antennae] Greetings from the Jannex Galaxy. [the other aliens take a bow] We seek the great John Edward."
The Biggest Douche in the Universe,John Edward,Why that... that's me!
The Biggest Douche in the Universe,Lead alien,"Sir, it is an honor to meet you. [extends his... ""hand""]"
The Biggest Douche in the Universe,John Edward,"[extends his hand and gives the alien a handshake] Well, thank you very much! [looks smugly at Stan]"
The Biggest Douche in the Universe,Stan,"No, it can't be."
The Biggest Douche in the Universe,Lead alien,"I am Quagmar, and this is the Intergalactic BDIU Committee. Mr. Edward, it is my honor to inform you that you have been nominated for Biggest Douche In the Universe! [the other aliens clap]"
