Breast Cancer Show Ever,Pete,It's about freaking time. [Wendy walks up to Cartman and they face off]
Pandemic,Randy,"Something's going on outside! Stay, stay here! [turns around and runs out]"
Pandemic,Shelly,"[coming down the stairs] What's going on, Dad? [Randy wheels around to see her]"
Pandemic,Randy,"Get back to your room, Shelly! [turns around and goes to the front door. He opens it and sees people running all over the street in a panic, He then points his camera at some helicopters overhead]"
Pandemic,Scene Description,On the street. Randy steps out of the house and runs into Mr. Garrison.
Pandemic,Randy,What's going on?
Pandemic,Mr. Garrison,They're all over the place!
Pandemic,Randy,What are?!
Pandemic,Mr. Garrison,"They're really furry! [runs off. Randy joins the others out on the street. He hears someone above him and points the camera to catch a man falling from the sky. A chunk of his body has been bitten off, exposing ribs on the right side]"
Pandemic,Randy,What did that?! [moves his camera off the body and sees more people running. A giant guinea pig appears among the panicked residents] What is that thing?! [someone taps him from behind and he turns around to see who it is. Officer Barbrady appears on camera]
Pandemic,Officer Barbrady,"Mr. Marsh, you have to move! It isn't safe to be here! [a house blows up and Randy starts running, his camera aimed at his feet. He aims his camera forward again and sees people rounding the corner and running his way. Linda Stotch is one of them.]"
Pandemic,Linda,AAAAAAAAH!! [Two heavy footfalls follow and a car flies through the air from left to right. Another giant guinea pig walks along the crossroad towards the mangled car]
Pandemic,Randy,Oh my Gohhhd!
Pandemic,Stephen,"[getting Randy's attention] Go go go go back the other way! [Randy runs back along the street, the camera again aimed at his feet. He stops and aims the camera at himself]"
Pandemic,Randy,"[out of breath] Oho, oh God, oh God, oh God. [pants] Oh God. [pants] I'm [pants] I'm so [pants] Startled."
Pandemic,A Woman,[voice only] Oh my Gohhhd! [Randy stops panting and looks to his left.]
Pandemic,Randy,HAAA! [A growl is heard and all of a sudden his camera goes dark.]
Pandemic,Scene Description,The Department of Homeland Security Headquarters. Michael Chertoff is back in the auditorium looking at the world map.
Pandemic,Chief aide,[entering] Sir? We've got a bigger problem.
Pandemic,Michael Chertoff,[smiles knowingly] Oh? And what might that be?
Pandemic,Chief aide,New reports are coming in from cities all over the world. Word of massive destruction and death by what ap-pear to be... [Chertoff turns around and smiles at him]
Pandemic,Michael Chertoff,[hiding a folder behind his back] Guinea pigs?
Pandemic,Chief aide,[softly] Yes sir. How did you know?
Pandemic,Michael Chertoff,"You were so close to figuring it all out, Davis, did you know that?"
Pandemic,Davis,Sir?
Pandemic,Michael Chertoff,"I really thought you had me in Miami, but you just couldn't quite put the pieces together."
Pandemic,Davis,You... You... knew this was going to happen.
Pandemic,Michael Chertoff,"Oh, this is only the beginning, Davis, and I can't let you interfere. [his face becomes monstrous. His tongue shoots out and stabs Davis in the right eye. Davis goes into convulsions for a long time, but finally dies. Chertoff releases his tongue's grip and it goes back into his mouth] Sorry my friend, but I've worked too hard to make all this happen. The pan flute bands are on their way to their deaths, the guinea pigs are rising, and the only person who could have stopped all this... is on his way to the middle of nowhere. [he looks at the folder he had behind his back. Attached to it is a picture... of Craig]"
Pandemic 2: The Startling,Scene Description,"Some recaps of last week's episode. Randy filming scared residents running by, a cameraman filming a police car being thrown into South Park Mall"
Pandemic 2: The Startling,Scene Description,YOU ARE NOT MEANT TO SEE
Pandemic 2: The Startling,Shelly,"What's going on, Dad? [cut to the fallen man with a chunk of flesh missing from his left side]"
Pandemic 2: The Startling,Officer Barbrady,"Mr. Marsh you have to move! It isn't- [cut to the power going out at CNN, then to an explosion, then to people running away from something, then the giant guinea pigs appearing, then to Linda Stotch panicking and running, then to a second car flying across an intersection, then to Randy looking into his camera]"
Pandemic 2: The Startling,Randy,[out of breath] Oh God. [pants] I'm- [pants] I'm so- [pants] Startled. [the camera cuts out on him] ARRRGH!
Pandemic 2: The Startling,Scene Description,PANDEMIC 2THE STARTLING
Pandemic 2: The Startling,Scene Description,"A picture of Craig appears as a Peruvian pan flute version of ""Three Blind Mice"" plays in the background"
Pandemic 2: The Startling,Craig,"My name is Craig Tucker. Last week was my birthday. [a picture of him, his family, and a grandmother standing behind a cake. Ten candles are on the cake. Balloons are all around and a ""HAPPY BIRTHDAY"" banner is above them] My Grandma gave me a check for a hundred dollars. [a picture of that is shown] I was sooo happy. But then, four kids from school came to my house [a shot of the four boys in Craig's living room] and said I should use my hundred dollars to invest in becoming a Peruvian flute band. [a shot of the newly-formed band, the Llama Brothers] They promised I would double my money in one afternoon. [soldiers swoop in and apprehend them] But the government arrested us along with all the other Peruvian flute bands and took us to an internment camp in Miami. [the camp is shown, followed by the five boys sitting in the interrogation room] We begged to go home, but instead the government told us they were sending us to Peru. [a shot of a DHS cargo plane with the boys sitting on the ground near it.] And so that is now why I'm in Peru. If I die, let it be known that it is because four guys I don't even like from school lied to me and took my birthday money. [he sits on one suitcase, Kenny on another. The whole group is in a mountainous region of Peru]"
Pandemic 2: The Startling,Stan,"We didn't lie, Craig, it was a sweet idea!"
Pandemic 2: The Startling,Kyle,Yeah. How are we supposed to know that pan flute bands would be outlawed?
Pandemic 2: The Startling,Cpt. Taylor,I don't get it. They said the military would meet us here.
Pandemic 2: The Startling,Cpt. Gabriel,This is where they told us to land. Can you get through to Washington?
Pandemic 2: The Startling,Cpt. Taylor,I'm trying. [...and gets through]
Pandemic 2: The Startling,A Voice,This is Connor in Washington.
Pandemic 2: The Startling,Cpt. Taylor,"Hey, Connor, the place that Homeland Security told us to start the operation, there, there's nobody here to meet us. It's like they sent us to no man's land."
Pandemic 2: The Startling,Connor,Jesus they're everywhere!
Pandemic 2: The Startling,Cpt. Taylor,What are everywhere?
Pandemic 2: The Startling,Connor,...so furry! They're attacking... every city... ha- people dying... Ha-... guinea pigs... all over! Agh.
Pandemic 2: The Startling,Stan,Guinea pigs?
Pandemic 2: The Startling,Connor,Can't stop them! Need to get... out... ergh. I just ate... a peanut... Agh peanut now stuck... in throat... Urgh shouldn't eat peanut... when scared. [a few more groans and communication is cut]
Pandemic 2: The Startling,Scene Description,A camera is restarted. Home furnishings are shown
Pandemic 2: The Startling,Randy,"I've got the video camera. Got it turned on again. [points it to himself] Okay. This is... Randy Marsh... I'm shooting this video of myself. Twenty minutes ago some... huge creatures attacked our town... Still chaos out the window... [aims it at the living room windows, through which you still see people running around in panic, then aims it at himself again] I barely made it back to the house. Sharon is here with me, [moves the camera just enough to show Sharon] and there's Shelly. [Sharon is protecting her somewhat] Wave to the camera, Shelly."
Pandemic 2: The Startling,Sharon,"Randy, will you put down that camera? We need to figure out what to do."
Pandemic 2: The Startling,Randy,I don't know what to do. I'm so startled.
Pandemic 2: The Startling,Sharon,[stands up] We have to see what the news is saying. [walks over to the TV and turns it on. A shot of New York City appears.]
Pandemic 2: The Startling,Reporter,[off camera] This is a shot of New York City where the... giant guinea pigs have also attacked.
Pandemic 2: The Startling,Sharon,Guinea pigs?
Pandemic 2: The Startling,Reporter,Reports of attacks are coming in from major cities all over the world.
Pandemic 2: The Startling,Randy,"Jesus, this thing is worldwide? [two giant guinea pigs suddenly come into view. The camera moves to a group of soldiers firing at a third guinea pig.]"
Pandemic 2: The Startling,Sharon,"Look at that thing! Randy, what are we gonna do? [Randy focuses the camera on her. A loud thump is heard, knocking Randy off balance. He regains it and makes sure Sharon and Shelly are fine, then turns to the source of a growl: a giant guinea pig has broken through a wall and is now looking at the family]"
Pandemic 2: The Startling,Randy,Oh my God! Oh my God! Oh my Gohhhd!
Pandemic 2: The Startling,Sharon,"Go Randy, run! [Sharon takes Shelly out the front door. Randy follows them]"
Pandemic 2: The Startling,Randy,Gotta get out!
Pandemic 2: The Startling,Scene Description,"The Peruvian jungle high up in the Andes. The group is still in the makeshift landing strip. Cpt. Taylor is still trying to get a connection through the plane's radio, which is next to him outside"
Pandemic 2: The Startling,Cpt. Taylor,"Michaels, Harrison, anybody? [no response] Nothing. LSAT is down and no answer at RCU. Whatever is going on out there is huge."
Pandemic 2: The Startling,Stan,"[steps forward] Ah all right, just let me get this straight: the head of Homeland Security ordered you to fly us, five kids, to Peru, but had you land way up in the Andes Mountains of Peru so that other government people could meet us and then... somehow tell us how to go to the capital of Peru, way over in Lima, and take down their government."
Pandemic 2: The Startling,Cpt. Taylor,"...Yes, that was the order."
Pandemic 2: The Startling,Kyle,And that makes sense to you?
Pandemic 2: The Startling,Cpt. Taylor,"Nope, not at all."
Pandemic 2: The Startling,Cpt. Gabriel,"Actually, the whole rounding up of the pan flute bands didn't make sense to any of us either."
Pandemic 2: The Startling,Stan,"None of what that Homeland Security guy does make sense, so could you just fly us home, please?!"
Pandemic 2: The Startling,Cpt. Taylor,You don't understand. The plan was to have a refueling truck meet us here. We don't have enough gas to fly any place.
Pandemic 2: The Startling,Craig,"Oh, that's awesome."
Pandemic 2: The Startling,Kyle,So we've gotta find another way out of here.
Pandemic 2: The Startling,Cpt. Taylor,"It's starting to look that way, yeah."
Pandemic 2: The Startling,Scene Description,"The Peruvian jungle, later. The two pilots lead the boys through it."
Pandemic 2: The Startling,Craig,This is fun. Let's walk for miles through a spooky jungle. It just keeps getting better and better.
Pandemic 2: The Startling,Cartman,"You know what, we're getting pretty sick of your attitude, Craig."
Pandemic 2: The Startling,Kenny,(Yeah!)
Pandemic 2: The Startling,Cartman,Nobody likes hanging out with people who complain all the time.
Pandemic 2: The Startling,Cpt. Gabriel,"Look at that: no lights on, nothing. It's like, humans have never been to this part of Peru. [the camera zooms out and at least eight giant burrowing holes appear before them.]"
Pandemic 2: The Startling,Scene Description,"U.S. Department of Homeland Security, strategic room. Chertoff looks at a map as an official briefs him on the current situation"
Pandemic 2: The Startling,Top Official,"More guinea pigs seem to be moving in from all directions. We checked on Wikipedia and found out that guinea pigs are from the Andes Mountains, here. [points to the mountains]"
Pandemic 2: The Startling,Michael Chertoff,What about the pan flute bands? Are they on their way to Guantanamo Bay?
Pandemic 2: The Startling,Official 1,"...Sir, we believe we have bigger problems right now than pan flute bands."
Pandemic 2: The Startling,Michael Chertoff,Have they been loaded onto the boats or not?!
Pandemic 2: The Startling,Official 2,No sir. We diverted all the resources away from the pan flute bands to deal with the guinea pigs.
Pandemic 2: The Startling,Michael Chertoff,That was an order! [pounds both fists into the map table.] The pan flute bands were to be put on boats to Guantanamo last night! [pounds both fists into the map table again.] I am still in charge here! I want those pan flute bands on the boats to Guantanamo!
Pandemic 2: The Startling,Soldier 4,Yes sir. I don't see why you have to yell at people. [turns around and walks out sobbing]
Pandemic 2: The Startling,Scene Description,"South Park, night. Randy's got his camera rolling. Sharon and Shelly stand behind a door so they are not seen from the street."
Pandemic 2: The Startling,Randy,"Hey we're down in... Main Street now and... [a tank rolls by] Wah? Oh, ohh, look at that. [the tank fires a cannon, but the giant guinea pig is unaffected by it.] Ohhh!"
Pandemic 2: The Startling,Sharon,"[whispering] Where do we go, Randy?"
Pandemic 2: The Startling,Randy,"We've got to get out of town. Go through that way. [points, and Sharon takes Shelly out the door and to the left. Randy follows them, but something catches his eye: a giant guinea pig is chewing a man's left arm off. The man is trying to get away by holding on to a light post with his right hand.]"
Pandemic 2: The Startling,Man,"Geow, my arm! MY ARM! [the guinea pig pulls him away from the light post and dangles him]"
Pandemic 2: The Startling,Randy,Oh Jesus!
Pandemic 2: The Startling,Sharon,"Randy, run! [the man falls to the ground as the rest of his arm is bitten off. Randy runs]"
Pandemic 2: The Startling,Randy,"[the camera is aimed at his feet again] Okay. We're running now. [aims the camera at Sharon and Shelly before him] There's Sharon and Shelly running. Wave to the camera, Shelly!"
Pandemic 2: The Startling,Shelly,"[glances back] Dad! [Randy moves the camera around to catch another mauling, then aims it back at Sharon and Shelly]"
Pandemic 2: The Startling,Randy,"[Sound of a explosion is heard. Randy points the camera to it and sees a giant guinea pig which starts moving towards him] Ahhh! [Before them is an empty bus with an open door] In there, in there! [Sharon and Shelly go on up the steps and into the bus. Randy follows them in] Oh God, oh God I'm so startled. Are you startled, Sharon?"
Pandemic 2: The Startling,Sharon,"Randy, put down that c-! [something big crashes into the bus. Randy gets his bearings and he sees a giant guinea pig outside the bus looking in]"
Pandemic 2: The Startling,Shelly,It's gonna kill us!
Pandemic 2: The Startling,Sharon,"[soothing her down] Just stay down, Shelly. It can't come in here. [another guinea pig jostles the bus]"
Pandemic 2: The Startling,Randy,"Hold on, hold on, I need to get a shot of it from outside. [runs down the aisle and outside]"
Pandemic 2: The Startling,Sharon,"Randy? Where are you going? [Randy stops a moment and then continues, moving away from the bus. He stops and aims his camera at the bus. Two giant guinea pigs climb up to the roof]"
Pandemic 2: The Startling,Randy,Here we see a view from outside the bus.
Pandemic 2: The Startling,Sharon,Randy! [Randy runs back into the bus and towards his girls] What the hell are you doing?
Pandemic 2: The Startling,Randy,"I got a... really good shot of it, Sharon. [another jostle follows and the camera shuts off again]"
Pandemic 2: The Startling,Scene Description,The Peruvian jungle. The pilots and the boys continue walking. Cpt. Gabriel tries to navigate the jungle using a map of Peru
Pandemic 2: The Startling,Cpt. Gabriel,"I don't know, Lemsky. This entire area of Peru isn't even charted on the maps."
Pandemic 2: The Startling,Cpt. Taylor,This whole valley is strange. Just look at the size of that fruit. [they pass by gianr fruit] Ain't that a peach? And how do you like them apples?
Pandemic 2: The Startling,Cpt. Gabriel,Take a look at this! They look like... beehive combs.
Pandemic 2: The Startling,Cpt. Taylor,Oh my God.
Pandemic 2: The Startling,Stan,"Dude, what is this place?"
Pandemic 2: The Startling,Cpt. Taylor,"It's like... an unknown valley that time forgot, where everything grows huge."
Pandemic 2: The Startling,Craig,"That's a shock. I decided to follow you guys, and now I'm in the land of the giants lost world."
Pandemic 2: The Startling,Stan,"[turns right and walks towards Craig] Craig, it isn't our fault! You make it sound like we always wanna be in situations like this but we don't have any choice!"
Pandemic 2: The Startling,Kyle,Yeah. Stuff just happens.
Pandemic 2: The Startling,Craig,Stuff just happens.
Pandemic 2: The Startling,Kyle,That's right!
Pandemic 2: The Startling,Craig,You just wind up being sent by the government to take down the city of Lima only to wind up in the land of the giants lost world.
Pandemic 2: The Startling,Cartman,That's right.
Pandemic 2: The Startling,Craig,You know when stuff happens to most kids? They fall off their bikes. They get in fights with their parents. They get swindled out of their birthday money.
Pandemic 2: The Startling,Cpt. Taylor,"Look, wherever we are, I think we'd better keep moving."
Pandemic 2: The Startling,Kenny,"[suddenly points] (Hey, look out!) [some brown saliva lands on Cpt. Gabriel's right shoulder, then he's chomped up, then Cpt. Taylor is chomped up too. One of Cpt. Gabriel's arms falls back to the ground. Boys start running where they came for]"
Pandemic 2: The Startling,Cpt. Taylor,"Ohhh stop it, make it stohhhp!"
Pandemic 2: The Startling,Scene Description,"Somewhere in South Park, night. Randy starts his camera up again and begins filming"
Pandemic 2: The Startling,Randy,"All right, all right. Here's Sharon and Shelly on the roof of Best Buy. We, we run up here to get off the streets. We found the Stotch family hiding up here also. There's Chris and Linda, and their son Butters."
Pandemic 2: The Startling,Butters,"Hello, heh."
Pandemic 2: The Startling,Linda,"What is that? Chris, what is that?"
Pandemic 2: The Startling,Randy,"That's a that's a, that's a new sound. [the sound of bees gets louder and louder as Randy moves his camera around]"
Pandemic 2: The Startling,Stephen,Oh God look!
Pandemic 2: The Startling,Sharon,Those aren't guinea pigs.
Pandemic 2: The Startling,Stephen,Get off the roof! [the group quickly heads for the stairs.]
Pandemic 2: The Startling,Randy,"Go! Go go go go go! [the group goes down the stairs and Randy closes the roof door behind him.] Oho, Oh God, we're going down the stairs now. Okay, getting downstairs. [they reach Best Buy's main floor. As they go towards the entrance two televisions on the television aisle show a news report]"
Pandemic 2: The Startling,An Anchorman,And we are now getting word of giant bees. The giant bees have been seen in the U.S. and Europe.
Pandemic 2: The Startling,Randy,Oh no! Oho oho. [they exit the store]
Pandemic 2: The Startling,Townsman 1,"Get away, there's bees everywhere! [The group runs across the parking lot with everyone else] There's another one right there! [Randy looks to his right with his camera and a giant guinea bee stands there not doing much.]"
Pandemic 2: The Startling,Randy,"Oh, my god!! [Another bee appears in front of him, and to his left, a man is on the ground with a giant stinger stuck into his chest.]"
Pandemic 2: The Startling,Townsman 2,"It stung me! It stung me! [Randy looks behind now, seeing the Best Buy store and a giant guinea bee. He keeps running.]"
Pandemic 2: The Startling,Randy,"Whoa, that startled me! That was really startling!"
Pandemic 2: The Startling,Scene Description,"The Andes jungle. The boys are left to their own devices, so they continue walking"
Pandemic 2: The Startling,Kyle,Um I think we're just heading deeper into the mountains.
Pandemic 2: The Startling,Cartman,"Yeah, maybe we should start heading that way. [points to his left]"
Pandemic 2: The Startling,Kenny,(I think we're fucked!)
Pandemic 2: The Startling,Kyle,"Hey, hey, look at this. [points to his right. The other boys look. A small temple is shown with two statues, one on either side of the entrance. The boys approach it]"
Pandemic 2: The Startling,Cartman,What is it?
Pandemic 2: The Startling,Kyle,I don't know. It's old.
Pandemic 2: The Startling,Stan,Let's see what's in there.
Pandemic 2: The Startling,Craig,"""Let's see what's in there."" That's why you guys get into these situations. Because when you come across a spooky, ancient ruin, you say ""Let's see what's in there."""
Pandemic 2: The Startling,Stan,"It might be a way out, Craig!"
Pandemic 2: The Startling,Cartman,"Yeah, Mr. Complainy Pants! [the boys enter]"
Pandemic 2: The Startling,Scene Description,Inside the temple. Stan lights the way with the torch
Pandemic 2: The Startling,Kyle,"Whoa, I don't think anyone's been in here for centuries"
Pandemic 2: The Startling,Kenny,(Yeah. Totally.)
Pandemic 2: The Startling,Stan,"You guys, look at this. [the others go to the wall Stan is looking at] It's a wall of ancient drawings. [first drawing is a group of four men playing instruments]"
Pandemic 2: The Startling,Kyle,"Dude, it's a Peruvian flute band."
Pandemic 2: The Startling,Stan,"I know, a-and look. [second drawing is the flute band playing music, which is driving away two giant guinea pigs]"
Pandemic 2: The Startling,Cartman,Looks like the... pan flute music is driving away giant... guinea pigs?
Pandemic 2: The Startling,Kyle,"Oh no way! Look! [a flute band is shown behind bars] The pan flute band's put in prison, just like what happened. [the boys look up and to the right]"
Pandemic 2: The Startling,Stan,And then the guinea pigs killing people. [they look a little lower] And then... [a boy holds a staff against a giant guinea pig]
Pandemic 2: The Startling,Cartman,"Dude, it's Craig!"
Pandemic 2: The Startling,Craig,What?
Pandemic 2: The Startling,Kyle,That is Craig. [Craig comes forward to look for himself. The other boys back away]
Pandemic 2: The Startling,Stan,"Dude, Craig, what's goin' on?"
Pandemic 2: The Startling,Craig,I have no idea.
Pandemic 2: The Startling,Cartman,"Well do you mind tellin' us what you're doing on an ancient Incan wall, Craig?"
Pandemic 2: The Startling,Craig,I don't know.
Pandemic 2: The Startling,Scene Description,"U.S. Department of Homeland Security, strategic room. Chertoff sits behind the table with his staff and some soldiers looking on"
Pandemic 2: The Startling,Top Official,There is now word of huge beehives forming in cities across the U.S. and Canada. Europe and China are reporting deaths by guinea pigs in the tens of thousands.
Pandemic 2: The Startling,Michael Chertoff,And how are the efforts to contain all this going?
Pandemic 2: The Startling,Official 3,"[steps forward] It's bad, sir. It seems we have no way of stopping it; we've lost complete control. [Chertoff laughs maniacally]"
Pandemic 2: The Startling,Top Official,"Uh, sir?"
Pandemic 2: The Startling,Michael Chertoff,"Ah I'm sorry, I just thought of a funny joke."
Pandemic 2: The Startling,Official 1,"Oh, a-hah."
Pandemic 2: The Startling,Michael Chertoff,"All right, get the jets ready. I need to get to Machu Picchu."
Pandemic 2: The Startling,Soldier:,"Uh, Machu Picchu, sir?"
Pandemic 2: The Startling,Michael Chertoff,"Yes, I need to be taken to Machu Picchu! Have you lost your hearing?!"
Pandemic 2: The Startling,Official 1,"But S-sir, what could possibly be at Machu Picchu to help the-"
Pandemic 2: The Startling,Michael Chertoff,Am I in charge or not?! [silences them all]
Pandemic 2: The Startling,Scene Description,Inside a supermarket in South Park. Randy prepares his camera again
Pandemic 2: The Startling,Randy,We're in the [pants] grocery store now. Some of the survivors here uh.
Pandemic 2: The Startling,Sharon,Can we get out through the highway?
Pandemic 2: The Startling,Soldier 5,The highway is unreachable; there's guinea rats all over it.
Pandemic 2: The Startling,Mr. Garrison,Guinea rats?
Pandemic 2: The Startling,Randy,[almost hyperventilating] I'm so startled.
Pandemic 2: The Startling,Mr. Garrison,"What do you mean ""guinea rats""?"
Pandemic 2: The Startling,Soldier 5,"Look, there are guinea pigs, but there's also guinea bees, guinea rats. I've even seen some guinea spiders out there."
Pandemic 2: The Startling,Sharon,"Randy, will you stop doing that?! [Randy continues to film her, then jumps to the next speaker, then the next one...]"
Pandemic 2: The Startling,Stephen,"Look, I, I think we need to find a way out under the city."
Pandemic 2: The Startling,Mr. Garrison,In the sewers? Can't be safe down there.
Pandemic 2: The Startling,Randy,"[walks away with the camera, rather scared] Oh God, what are we gonna dooo?"
Pandemic 2: The Startling,A Woman,Oh my God!
Pandemic 2: The Startling,Townsman 3,Something's inside the store!
Pandemic 2: The Startling,Townsman 4,Guinea rabbits! They're inside! [facing him is a guinea pig in a blue rabbit outfit]
Pandemic 2: The Startling,Townsman 5,God they're everywhere!
Pandemic 2: The Startling,Townsman 6,Help me! [Randy finds out who's screaming for help] Help... me... [it's a man who's practically been bitten in half]
Pandemic 2: The Startling,Townswoman 1,Travis! No!
Pandemic 2: The Startling,Randy,You can't help him!
Pandemic 2: The Startling,Stephen,There's something over there!
Pandemic 2: The Startling,Townsman 7,It's a guinea bear!
Pandemic 2: The Startling,Randy,"No, it's a guinea mouse, stupid! [he lowers the camera as he runs, then raises it again to focus on a woman]"
Pandemic 2: The Startling,Townswoman 2,Kill me!
Pandemic 2: The Startling,Sharon,"Randy, the storeroom, we've gotta get to the storeroom! [he follows the survivors into the storeroom, and the door closes behind them a few seconds later. There is no light in the room]"
Pandemic 2: The Startling,Shelly,"Mom, I can't see."
Pandemic 2: The Startling,Randy,"It's okay, Shelly. Daddy's gonna turn on night vision. [night vision mode is on] There. There. Okay. Gaaah! [the others gasp]"
Pandemic 2: The Startling,Sharon,What what what what?
Pandemic 2: The Startling,Randy,"Nothing, sorry. I just startled myself. Gaaah! [camera out]"
Pandemic 2: The Startling,Scene Description,"Stan is still guiding the others through the Incan temple, and the sound of running water is soon heard"
Pandemic 2: The Startling,Stan,"Let's head over this way, guys."
Pandemic 2: The Startling,Kyle,Hear that? It sounds like water.
Pandemic 2: The Startling,Cartman,"Yeah, it's coming from up there."
Pandemic 2: The Startling,Stan,Wow. [they find themselves in a massive complex full of statues whose mouths or noses serve as waterfall fountains. Several suspension bridges connect the mouth of the statue they're in to the other statues]
Pandemic 2: The Startling,Cartman,"Dude, that's awesome."
Pandemic 2: The Startling,Stan,"All right, let's go. [Craig doesn't move]"
Pandemic 2: The Startling,Craig,No.
Pandemic 2: The Startling,Stan,"Wait, whattaya mean no?"
Pandemic 2: The Startling,Craig,I'm not following you guys any more.
Pandemic 2: The Startling,Stan,"Dude, we we have to go check this out."
Pandemic 2: The Startling,Craig,Why?
Pandemic 2: The Startling,Stan,"'Cause just, that, that's just the way it is."
Pandemic 2: The Startling,Craig,"Every time bad things happen, you guys end up putting yourselves deeper into the middle of it, because ""that's just the way it is."""
Pandemic 2: The Startling,Stan,"Hey, we aren't the ones on an ancient temple prophecy wall, buttwipe!"
Pandemic 2: The Startling,Craig,I don't care. I've decided that I'm done. I am choosing not to be a part of this anymore.
Pandemic 2: The Startling,Kyle,How do you do that?
Pandemic 2: The Startling,Craig,"It's easy. Watch. [turns around and walks back out the way they came in. He makes his way back to the temple's entrance, and the boys follow him]"
Pandemic 2: The Startling,Stan,"Craig, dude, wait up."
Pandemic 2: The Startling,Cartman,"[Craig leads the boys across the Nazca Plateau] Dude, Craig, we should go back now."
Pandemic 2: The Startling,Craig,No.
Pandemic 2: The Startling,Stan,"[Craig leads them across an open field] Hey look, there's something here."
Pandemic 2: The Startling,Craig,...Nope.
Pandemic 2: The Startling,Cartman,"[the boys walk through a thunderstorm] Dude, this is boring. This is just a bunch of walking around."
Pandemic 2: The Startling,Craig,"Yup, nice and boring. Just the way I like it."
Pandemic 2: The Startling,Scene Description,South Park. Randy turns his camera on again
Pandemic 2: The Startling,Randy,"It's been three days now since the guinea pigs and the guinea bees attacked. Guinea rabbits are still everywhere, along with a few guinea panthers. We've taken shelter at the Outback Steakhouse. There's Sharon and Shelly. Say ""hey"" guys."
Pandemic 2: The Startling,Shelly,What is that? What is that? [Sharon holds her close]
Pandemic 2: The Startling,Randy,"I'm gon-, I'm gonna take a look outside! [gets up with his camera and heads outside]"
Pandemic 2: The Startling,Scene Description,Outside Outback Steakhouse. Randy runs into a fleeing couple
Pandemic 2: The Startling,Randy,What is it?
Pandemic 2: The Startling,Husband,It's a Guineasaurus Rex! [Randy turns around and sees the G. Rex next to P.F. Chang. It's much bigger than other guinea creatures: about 30 feet high at the shoulder. Everyone near it scatters. Randy zooms in on the car it seems to be eating from and sees a dead couple there. The woman's body is halfway out the car through the windshield. The man's body is halfway out through the passenger door. The alarm has gone off.]
Pandemic 2: The Startling,Shelly,Oh my Gohhhd!
Pandemic 2: The Startling,Randy,"Oh no, I'm way too startled!"
Pandemic 2: The Startling,Sharon,"[points up to the sky] Look! [three jet fighters swoop in from somewhere and fire missiles at the G. Rex, but it remains unscathed]"
Pandemic 2: The Startling,Randy,"Jesus, they can't kill it! [turns his camera to Shelly] What do you think about the Guineasaurus Rex, Shelly? [she's scared, but moves closer to the street to get a better look. This puts her in the same frame as the G. Rex] Oh that's good. There, there's Shelly with the Guineasaurus Rex in the background. Give, give a little peace sign, Shelly. [Shelly turns around frozen in fear] Oh I know, hold out your palm so it looks like you're holding the Guineasaurus Rex. Shelly?"
Pandemic 2: The Startling,Sharon,Randy?! I have had it! You are putting down that God damned camera!
Pandemic 2: The Startling,Randy,"Sharon, you're gonna be really glad we have all this footage of the family someday. [she rears back and smacks the camera out of his hand]"
Pandemic 2: The Startling,Scene Description,"Machu Picchu, night. Chertoff arrives with his staff at the site in a military helicopter"
Pandemic 2: The Startling,Michael Chertoff,"Wait here a minute. [nearby a huge golden Incan idol holds a stick and a pan flute. Chertoff approaches it and opens his arms] Behold! I am standing on your precious land! I've waited a long time for this! [unzips his pants and urinates on the statue, mocking it with laughter]"
Pandemic 2: The Startling,Soldier 6,What's he doing?
Pandemic 2: The Startling,Michael Chertoff,What of your prophecy now?! Nothing can stop me! [there's some sound to his left and he turns to see what it is. It's Craig climbing over a wall and dusting himself off. Chertoff approaches him in anger] Craiiig! [the other four boys appear behind Craig] No! How did you get here?!
Pandemic 2: The Startling,Cartman,"Hey, it's that asshole who sent us to the jungle with nobody to pick us up!"
Pandemic 2: The Startling,Soldier 6,"Sir, ih-is everything all right?"
Pandemic 2: The Startling,Michael Chertoff,Shoot them!
Pandemic 2: The Startling,Soldier 7,Shoot them?
Pandemic 2: The Startling,Michael Chertoff,They're a Peruvian band that escaped. We must keep them contained.
Pandemic 2: The Startling,Stan,"No no, listen to me. The Peruvian flute bands were keeping the guinea creatures away. Whatever is happening to the world is happening because you guys got rid of all the flute bands."
Pandemic 2: The Startling,Michael Chertoff,I said shoot them!
Pandemic 2: The Startling,Kyle,Go look! It's all an ancient Incan prophecy.
Pandemic 2: The Startling,Top Official,"Maybe we should look at it, sir."
Pandemic 2: The Startling,Michael Chertoff,"Damn you Craiiig! You just don't ever stop, do you?!"
Pandemic 2: The Startling,Craig,I didn't say anything.
Pandemic 2: The Startling,Michael Chertoff,"[begins his speech] You see, for thousands of years horrid creatures have lived in the Guinea Valley of Peru. The Incas learned how to keep the creatures at bay: by playing pan flute music. Guinea creatures hate it even more than humans do. But the prophecy foretold that one day the creatures would be unleashed and I have made that happen! The Incas predicted the world would be saved... by Craig. But that part of the prophecy will not come true! For you will all die on this mountain! [one of the soldiers fires his rifle and the bullets pierce through Chertoff's chest, leaving a large hole. Chertoff looks at the hole and cackles]"
Pandemic 2: The Startling,Top Official,"You're, you're some kind of monster."
