Britney's New Look,Photographer 3,Hey look!
Britney's New Look,Gil,[inspecting some yellow corn] Nice-lookin' corn.
Britney's New Look,Scene Description,"South Park Market, day. Randy and Sharon check out the corn. Sheila passes."
Britney's New Look,Sheila,"Hey Sharon, Randy, great harvest, huh? [begins to check out the corn as well. Sharon puts some corn into her shopping cart]"
Britney's New Look,Randy,An incredible harvest. Some of the best corn I've seen in years.
Britney's New Look,ET Reporter,"[on TV screens throughout the store] She's the daughter of a country singer, and the young girl has really taken the country by storm. Hannah Montana's Miley Cyrus, though only fifteen years old, is already on her way to being a major superstar."
Britney's New Look,Jimbo,"[near the beginning of the report] Hey, check it out! [the report ends and ominous music begins]"
Britney's New Look,Randy,"[glued to the screen] Looks like next harvest will be even better. [begins to chant. The other shoppers join in, then Sheila, and finally, Stan and Kyle, who have apparently given up on talking sense to the adults. The image of the ET reporter and Miley stays onscreen]"
Major Boobage,Scene Description,"South Park Elementary, day, Mrs. Garrison's classroom. Mr. Mackey is speaking to the class"
Major Boobage,Mr. Mackey,"M'kay, kids, we have something very serious we need to discuss today, hm'kay? It appears that some kids in school are getting high by choking themselves. Some kids call it ""The Choking Game"", hm'kay but, but choking yourself is bad. Hm'kay? Don-, don't do that. Hm'kay?"
Major Boobage,Kyle,"You can get high from choking yourself? [Kenny feels for his neck through his hood, then squeezes once he finds it]"
Major Boobage,Mr. Mackey,"Schoolchildren are often experimenting with dangerous ways to get high, hm'kay, like sniffin' glue, guzzlin' cough medicine, huffin' paint, hm'kay? But they're all bad. M'kay?"
Major Boobage,Butters,"Mm-my cousin's in Florida, and said kids in their school get high off of cat pee."
Major Boobage,Cartman,Cat pee? [Kenny lets up and then tries to choke himself again]
Major Boobage,Stan,"That's not true. You can't get high off of cat urine, can you?"
Major Boobage,Mr. Mackey,"Well, it's a it's not actually cat urine, but male cats, when they're marking their territory, uh spread concentrated urine to fend off other male cats and... a-and that could get you really high. M'kay? Re-really reeeally high. Okay? [Kenny is trying really hard to choke himself] Probably shou-shouldn't have told you that just now. Hm'kay? Tha, that was probably bad."
Major Boobage,Scene Description,"Cartman's house, day. The original four boys are there, gathered around the coffee table on which stands a frame holding a cat in a harness. Cartman is almost done with the cat"
Major Boobage,Cartman,"All right, this should keep my cat in place while he sprays the urine. [Mr. Kitty meows] Yesss, poor Mr. Kitty, are you just so upset right now? [Mr. Kitty meows]"
Major Boobage,Kyle,You guys are wasting your time.
Major Boobage,Stan,"Yeah, this is not gonna work."
Major Boobage,Cartman,"Okay, ready Kenny?"
Major Boobage,Kenny,(All set.)
Major Boobage,Cartman,"All right, bring out...! The other male cat. [Kyle walks to a pet carrier, opens the door, pulls out a brown striped cat, and places it on the coffee table opposite Mr. Kitty. The two cats meow at each other first, then growl at each other. After a short while, Mr. Kitty shoots concentrated piss into Kenny's face]"
Major Boobage,Kenny,(Woah.)
Major Boobage,Kyle,Whoa! [Kenny staggers backwards. The other guys gather round him]
Major Boobage,Stan,Do you feel anything?
Major Boobage,Cartman,"Well, Kenny? Are you buzzed? [Kenny's not responding. His mind is elsewhere...]"
Major Boobage,Scene Description,"Kenny's eyes are unfocused as his mind goes into an altered state. He seems to be going through space, then an acid trip, then both. Kenny descends into a Thunderbird fitted with rocket boosters and takes the wheel. He heads towards a desert planet and lands with a thud. He quickly shifts gears and peels away. He drives through the desert landscape until a curvaceous woman steps into his path. He stops. She wears a stylized cowboy hat and skimpy clothes. Kenny motions over and lets her take the wheel. Kenny can't help but look at her breasts. They head towards a huge building with breast-shaped touches all overs. The woman steps out and walks towards the stairs, then enters the building. Kenny quickly follows suit. As they walk through the building a creature stabs another one through the skull, killing him"
Major Boobage,Kenny,(Hey cool! Check it out!)
Major Boobage,Father,I see that you're enticed by my daughter's awesome rocking tits.
Major Boobage,Kenny,(Yeahhh!)
Major Boobage,Father,Then bathe with my daughter in the fountain of Varnov. Appease the gods by lathering her boobs with soapy suds.
Major Boobage,Kenny,"(Okay!) [follows her towards the fountain. At the fountain's edge, she undresses, then he begins to undress] (Woop! Woo-hoo!)"
Major Boobage,Cartman,"[through Kenny's hallucination] Kenny! Kenny, wake up! [In the middle of town, Cartman is stopping Kenny from disrobing any further] Wake up, Kenny! You all right? Kenny!"
Major Boobage,Kenny,(What?) [opens his eyes and looks around] (Where'd she go?) [stands up and pulls up his pants.]
Major Boobage,Cartman,"Dude, that cat urine really fucked you up. You were seriously tripping balls."
Major Boobage,Kenny,(You fucking asshole!)
Major Boobage,Cartman,"Agh, Kenny! Knock it off! What's wrong with you?"
Major Boobage,Kenny,[Punching Cartman] (What the fuck did you do that for?)
Major Boobage,Cartman,"Ah, Kenny! [Stan and Kyle come up to restrain Kenny]"
Major Boobage,Kyle,"Dude! Dude, Kenny, calm down!"
Major Boobage,Kenny,"[walks away from them a bit, mad] (Aww i was so close! You should have seen her titties.)"
Major Boobage,Stan,What titties?
Major Boobage,Kenny,"[turns around] (The titties! Oh my god, they were incredible!)"
Major Boobage,Kyle,"Kenny, all you did after the cat peed in your face was start running around in circles cheering."
Major Boobage,Stan,"Yeah, and then you ran through town screaming and started tearing off all your clothes."
Major Boobage,Kenny,(I almost... touched them.)
Major Boobage,Kyle,"Dude, I don't think we should be messing around with that crap anymore."
Major Boobage,Scene Description,"The Broflovski house, living room. Gerald walks in, grabs the remote from the sofa, turns on the TV, and sits down to watch"
Major Boobage,Announcer,"Next on FOX News! [SPECIAL REPORT: FOX NEWS] It's the newest drug craze. and it's killing your kids! [""killing your kids"" appears over scenes of kids falling over]"
Major Boobage,Gerald,Killing our kids? [leans forward]
Major Boobage,Reporter,"All over America, kids are getting high... on cat urine! [two women have their cats face off, and one of them gets concentrated urine on her face. She laughs] Huffing cat urine apparently causes a euphoric state [the affected woman moved her arms up and open, then freezes as her eyes get unfocused] and is also referred to as... cheesing. [Letters cut out into cheese shapes appear: ""CHEESING"". Cut to the front of J. Brown Elementary School, day.] Why ""cheesing""? Because it's ""fon to due"". [the words appear onscreen. Cut to a girl's silhouette] This sixth grade girl said she's been snorting cat piss for several months."
Major Boobage,Girl,"[in a deep, electronically-altered voice] We sometimes sneak out during recess and a friend named _________ goes and gets her cats, and we'll just cheese all day long."
Major Boobage,Gerald,Oh my God! Sheila! Come look at this!
Major Boobage,Reporter,"So how can you tell if your child is cheesing? [some graphics begin to appear] 1. Your child seems distant, preoccupied. 2. Your child's face smells like cat urine. 3. When you see tigers at the zoo, your child starts grinding his or her teeth. You might also notice by certain phrases your child says to school friends, such as ""Hey, let's go cheese."" or ""Do you feel like cheesing, guys?"" or ""Dude, I'm cheesing my F-ing brains out right now."""
Major Boobage,Sheila,[now standing next to Gerald] Kids are doing this?
Major Boobage,Reporter,"Kids do it because it's legal. [a teen boy looks at the camera with a fierce face. A skull and crossbones appear over it] What can you do before it's too late? [a picture of a cat switches with its negative for a strobe effect a few times, then ends with the negative and an echoing meow]"
Major Boobage,Gerald,"We have to protect our children from this, Sheila."
Major Boobage,Scene Description,"Town meeting, next day. On stage are Mr. Mackey, Principal Victoria, Mayor McDaniels, Gerald (at the podium), Sheila, and Officer Barbrady"
Major Boobage,Gerald,"Twenty percent of American students aged six to twelve say they have tried cheesing at least once. Kids also refer to it as ""the cheese game"", or ""vitamin cheese"", or ""Mary Jane piss in your face fun time"". Cheesing is spreading fast."
Major Boobage,Sharon,"[stands up] All right, we're all sufficiently scared, Gerald, but what could we do?"
Major Boobage,Gerald,I have written up a bill that would make having a cat illegal in the city of South Park.
Major Boobage,Stephen,"[stands up] Gerald's right. We all have to face it. Cats are deadly animals! If you stick your nose up their crotch and snort their piss, they can kill you!"
Major Boobage,Gerald,"With my super lawyer powers, we can rid our town of cats, so that our kids can never get high again!"
Major Boobage,Randy,[stands up again] Let's hear it for Gerald!
Major Boobage,Stephen,[stands up again] Hooray for Gerald! [the rest of the audience begins to cheer and argue]
Major Boobage,Scene Description,The neighborhood. Black vans arrive and DEA agents jump out of them. The agents enter people's houses and confiscate any cats found there. Some agents take away a small boy's cat. Bebe loses her cat Thumper to a pet carrier. Craig Tucker's sister in her sandbox cries as an agent grabs her cat out of her hands
Major Boobage,Tricia,No! No!
Major Boobage,Agent 1,"Oh wah wah! Get over it, druggie. [walks off with the cat] Jeez... [Two other agents leave another house with a cat]"
Major Boobage,Man,"Goodbye, Scrambles. [his daughter cries into his left pant leg] We'll miss you. [nearby, the cats are tossed into the DEA vans and taken away]"
Major Boobage,Scene Description,"Kenny's house, night. He's about to cheese when two agents break in and confiscate the two cats he has there"
Major Boobage,Agent 2,Got two here.
Major Boobage,Kenny,(Hey! What the fuck are you doing?!)
Major Boobage,Agent 1,"Sorry, these are illegal."
Major Boobage,Kenny,(What?! No! What are you doing?!) [the agents toss the cats into the van] (You fuckers!) [the van drives off.]
Major Boobage,Scene Description,Cartman's house. Three agents comb the living room
Major Boobage,Cartman,"Look, I told you, I had a cat. But I had it put to sleep 'cause it pissed me off. [the agents soon leave, and Cartman walks up to the dim attic with a small book] Shh. Mr. Kitty, you have to live in the attic for now. [drops the book in front of the cat] Here. Write a diary."
