Douche and a Danish,Lennart,"Get everyone back inside. If this girl really is that smart and funny, we might have another shot here. [the other Dane goes away]"
"Oh, Jeez",Gerald,"Kyle, you've gotta lighten the fuck up, buddy. Every day with you it's ""Dad, I feel guilty about this. Dad, I'm so confused about that."" You're a kid. You're supposed to just laugh and make fun of shit. [smiles] Stop being such a pussy, okay pal? Fuck. [hangs up, leaving Kyle a bit stunned]"
"Oh, Jeez",Ike,Daddy called you a pussy.
"Oh, Jeez",Scene Description,South Park Elementary gymnasium. PC Principal stands before a big screen with speakers on either side
"Oh, Jeez",PC Principal,"Alright everyone, listen up. I know that many of us were shocked to the core with last night's election. But we cannot allow our school to be any further divided. It is time to try and start the healing process, and so here, to try and help us heal, is Bill Clinton. [claps. He's the only one to do so. Bill Clinton steps out from behind the screen]"
"Oh, Jeez",Bill Clinton,"Hi kids. I'm Bill Clinton, and I was almost the first gentleman in America. Thank you. Even though we might have lost the election, it doesn't mean that my work to be a gentleman is goin' to stop. I'm gonna ask all you boys to agree to join Bill Clinton's Gentleman Club. [its logo shows up on screen] But I can't do it alone. Sometimes, I wish there were two of me. Oh wait, there are. Oh Bill!"
"Oh, Jeez",Bill Cosby,"Yes, Bill?"
"Oh, Jeez",Bill Clinton,Come on out here.
"Oh, Jeez",Bill Cosby,"Hello, boys and girls."
"Oh, Jeez",Bill Clinton,I'm Bill
"Oh, Jeez",Bill Cosby,And I'm Bill
"Oh, Jeez",Bill & Bill,And together we're Bill and Bill Two birds of a feather comin' to your school Gonna show you all about what gentlemen do. When you're not quite sure how you feel Ask Bill and Bill.
"Oh, Jeez",Bill Clinton,"Say, Bill?"
"Oh, Jeez",Bill Cosby,"Yes, Bill?"
"Oh, Jeez",Bill Clinton,Would you like to join my gentlemen's club?
"Oh, Jeez",Bill Cosby,"You know I would, Bill."
"Oh, Jeez",Scene Description,"Heidi's room, day. She's writing some stuff down when Cartman enters her room."
"Oh, Jeez",Cartman,Heidi? Heidi!
"Oh, Jeez",Heidi,Hey babe. What's the matter?
"Oh, Jeez",Cartman,"Sorry, I have to talk to you. It's really important."
"Oh, Jeez",Heidi,Okay.
"Oh, Jeez",Cartman,"Heidi, we... have to get to Mars."
"Oh, Jeez",Heidi,"I know, babe. You've talked about how humankind needs to get to Mars for a few weeks now."
"Oh, Jeez",Cartman,"No, Heidi, we have to get to Mars like, now. [walks around a bit] I've seen what's gonna happen when Trolltrace goes online. I think... a lot of people have said and done things online that will make a lot of other people angry and, it's going to be very bad. Humankind is going to destroy itself and its only hope are the people who go to Mars, where there's no wifi. So nobody can see what anybody said or did on the Internet, ever."
"Oh, Jeez",Heidi,"Babe, there's no way to get to Mars right now."
"Oh, Jeez",Cartman,"Yes. [walks up to hold her hand] Heidi, I think there is. But you have to totally trust me, and know that I'm doing this to save... us."
"Oh, Jeez",Heidi,I trust you with everything I have.
"Oh, Jeez",Cartman,That's kewl.
"Oh, Jeez",Scene Description,"Copenhagen, day. ""Tjing Tjang Tjing"" plays. The arrivals area is shown, and Gerald descends on an escalator. The music switches to an action-paced score."
"Oh, Jeez",Ticket agent,"Your name, please?"
"Oh, Jeez",Gerald,Miller. Von Miller. [adjusts his cuff links] I'm the ambassador of technology from the Turkish Islands.
"Oh, Jeez",Ticket agent,"Oh yes of course, Ambassador Miller. You're here to support our country's-a Trolltrace program, yes?"
"Oh, Jeez",Gerald,That's right.
"Oh, Jeez",Ticket agent,"Your escort is-a right over there. [points to her left. Dane 5 waits at the exit holding a welcome sign up: ""AMBASSADOR VON MILLER""]"
"Oh, Jeez",Scene Description,"A Trolltrace vehicle. Dane 2 is driving, Dane 5 is in the passenger seat, and Gerald is in the back seat."
"Oh, Jeez",Gerald,Nice little country you have here. Really clean.
"Oh, Jeez",Dane 5,"Yes, ambassador. Denmark is ranked the nicest place to live in all the world almost every year. [the car stops at the Trolltrace entrance and the occupants step out] This is it, ambassador. All of Trolltrace is housed in this building."
"Oh, Jeez",Gerald,"Mhm. [takes a picture. They go inside and Gerald looks around the lobby] Wow, this is really impressive. [takes a few more pictures]"
"Oh, Jeez",Lennart Bedrager,"[appears] Thank you for coming. [Gerald turns around] Welcome to Trolltrace. I cannot tell you how much I've been looking forward to your visit, [somewhat ominously] Ambassador Von Miller. We have so much to talk about. Won't you join me upstairs for frikadellers and leverpostejs?"
"Oh, Jeez",Scene Description,A table at a restaurant. Stan is in a chair.
"Oh, Jeez",Stan,"I can't imagine how you're feeling right now. I know that the election didn't go the way you'd hoped. What I want to say is, I'm sorry. [Wendy is shown facing him across the table] I know that girls have gone through a lot lately, and I just want you to know that... I'm here for you."
"Oh, Jeez",Bill Clinton,"Okay, okay, that's good, but now, make sure she knows how you're gonna change."
"Oh, Jeez",Stan,"I am gonna change. I, I am."
"Oh, Jeez",Bill Clinton,Whether she takes you back or not.
"Oh, Jeez",Stan,"Yeah well, but I, but I want her to take me back."
"Oh, Jeez",Bill Cosby,"[pops into view as he leans back on his chair] Yeah, but if you're just changin' to get her back, then you're bein' selfish again."
"Oh, Jeez",Stan,"Okay, look. The bottom line is, you still have to have faith... in boys, because... because I miss you, Wendy. [some knocking nearby. Stan and Wendy look in the direction of the knocking]"
"Oh, Jeez",Butters,"Traitor! [Stan, Wendy, and Bill Clinton see him outside with four other boys - Craig, Clyde, Tweek, and Francis] Fuck you, Stan! You're a traitor! [drops his pants to show his wiener and puts his fist high up in the air]"
"Oh, Jeez",Stan,Go away Butters! [Cosby leans back to see what's going on]
"Oh, Jeez",Bill Clinton,Who's that?
"Oh, Jeez",Butters,How dare you be ashamed of who you are?! [steps forward and presses his wiener onto the window]
"Oh, Jeez",Bill Cosby,"Oh, he's pressin' pickle!"
"Oh, Jeez",Scene Description,"Trolltrace building, boardroom. Gerald and Lennart enjoy a meal, surrounded by servers outside the room."
"Oh, Jeez",Lennart,Enjoying the frikadellers?
"Oh, Jeez",Gerald,"Oh. Yes, they're nice."
"Oh, Jeez",Lennart,And the leverpostejs are seasoned to your liking?
"Oh, Jeez",Gerald,"Ah, I wouldn't know. Ha, haha."
"Oh, Jeez",Lennart,"You keep-a checking your watch, Ambassador Von Miller. Are you late for something?"
"Oh, Jeez",Gerald,"No, no I, I-I'm just anxious to get a look at your servers. They must be quite impressive."
"Oh, Jeez",Lennart,Yes. Well a database that can identify everybody's Internet activity is-a very complex. I'm so pleased you want to help us rid the world of-a trolls. Do you happen to recognize... [clicks on a remote controller and a black and white picture of Freja Ollegard appears onscreen] this woman?
"Oh, Jeez",Gerald,Ahhh... no.
"Oh, Jeez",Lennart,"Her name was-a Freja Ollegard. She was Denmark's-a national treasure. [pours himself some Gold Top wine] She had an amazing breast-cancer awareness website, and some... troll... decided to Photoshop-a wieners in her mouth. [Gerald stifles a laugh by putting a napkin over his mouth]"
"Oh, Jeez",Gerald,"Oh, wow. That's terrible."
"Oh, Jeez",Lennart,"Her final straw was when she was trolled on a live TV show. [pours some more wine into a second glass] When the troll posted comments about-a breast cancer with-a fake doctors' names. Would you like to know what the doctors' names were? The first one was a Dr. Boobsoff. Dr. Cootsier Boobsoff. [Gerald stifles a second laugh] Then I believe there was a Dr. Juerdior Titsgo. [Gerald stifles a third laugh] But probably most insensitive of all was when the troll said he was Dr. Ipples. Dr. Now I'm Only-n Ipples. [Gerald stifles a fourth laugh, but it's getting harder and harder to do so. Lennart notices and gets in his face] Are you alright, Von Miller?!"
"Oh, Jeez",Gerald,"I'm fine. I... I think the frikadellers gave me a little heartburn. Ah, if you wouldn't mind, could I see the servers now?"
"Oh, Jeez",Lennart,It would be my pleasure.
"Oh, Jeez",Scene Description,"The Stotch house, night. The doorbell rings and Stephen answers it."
"Oh, Jeez",Bill Clinton,"Hello, I'm Bill Clinton, and I was almost the First Gentleman in America."
"Oh, Jeez",Stephen,"Oh my gosh! Honey, it's the nearly-Gentleman!"
"Oh, Jeez",Bill Clinton,May I come into your lovely home?
"Oh, Jeez",Stephen,"Well of course, that's very gentlemanly of you. [Clinton enters]"
"Oh, Jeez",Linda,"Oh my goodness, it's him. Hello, sir."
"Oh, Jeez",Bill Clinton,"Hello, ma'am. I wasn't expecting someone so stunning. [takes her right hand and kisses it] I'm so sorry for the intrusion, but I was wondering if I could speak with your son."
"Oh, Jeez",Stephen,"Oh. Well, I'm afraid Butters is grounded for pressing pickle at the nail salon again."
"Oh, Jeez",Linda,"Stephen, this is a guest, a gentleman."
"Oh, Jeez",Stephen,"Uh but, but of course we'll make an exception. [takes Clinton upstairs and to Butters' door] Butters has been grounded quite a lot lately. Don't know what's gotten into him. [unlocks the seven locks and latches used to keep Butters in his room]"
"Oh, Jeez",Bill Clinton,"Well, maybe I can help."
"Oh, Jeez",Stephen,"That'd be great. No matter how hard we ground him, he remains defiant. [finally opens the bedroom door. Butters is standing on his bed looking out the window, with his wiener out] Butters, stop smooshing snake! The gentleman is here to speak with you."
"Oh, Jeez",Butters,[over his shoulder] What?
"Oh, Jeez",Bill Clinton,"Hello, young man. Come on, sit down. Let's talk."
"Oh, Jeez",Scene Description,"The Marsh house, dinner time. The family is eating dinner, but Stan is missing and Randy is still under the influence of member berry juice."
"Oh, Jeez",Randy,"Well, I don't know about you guys, but I sure am excited. America is going to be great again. Aren't you excited, gang?"
"Oh, Jeez",Shelly,"No I'm not excited! It sucks, Dad! This country is gonna suck for four years!"
"Oh, Jeez",Randy,"Aww, come on, Shelly. We've learned that women can be anything. Except for President."
"Oh, Jeez",Sharon,Randy! You just spent the last month convincing me that the only reason people wanted to go back was because of a childish nostalgia they all had for the new Star Wars!
"Oh, Jeez",Randy,"Have you really watched it, Sharon? It has more to offer than just nostalgia. Let's all watch it again tonight."
"Oh, Jeez",Sharon,What?! I don't wanna watch Star Wars any more than I- [Randy vomits member berry juice on her]
"Oh, Jeez",Shelly,"Dad, what the hell is wrong with y- [Randy vomits member berry juice on her]"
"Oh, Jeez",Scene Description,"Trolltrace headquarters, day. Lennart Bedrager opens the server vault."
"Oh, Jeez",Lennart,"Please, ambassador, explore the servers at your leisure. Let us know if you have any questions."
"Oh, Jeez",Gerald,"Thank you. [the Danes leave, and Gerald goes into spy mode, entering the vault and locking it. He takes pictures every few steps and passes by Dick unaware]"
"Oh, Jeez",Dick,You can stop being an idiot now.
"Oh, Jeez",Gerald,[notices him] What the-? Dildo?
"Oh, Jeez",Dick,Skankhunt.
"Oh, Jeez",Gerald,What the fuck are you doing here?
"Oh, Jeez",Dick,I was sent here by the government to do international espionage like James Bond.
"Oh, Jeez",Gerald,"Nononononono, that's what I'm doing. Hillary Clinton says I was the only one capable of-"
"Oh, Jeez",Dick,"Of being smart and funny enough to pull it off. Yeah, that's what she told all of us."
"Oh, Jeez",Gerald,All of us? Who? [Dick looks to his left and Gerald follows his gaze. The other trolls in their group are there with their own briefcases]
"Oh, Jeez",Anonymous 821,Hey Skankhunt.
"Oh, Jeez",Gerald,What the hell is going on?
"Oh, Jeez",Dick,Don't you get it? The government made some kind of deal with the Danish. They handed us over so they wouldn't go forward with their Trolltrace program. They wanted the troll who killed Freja Ollegard and his associates. We got sold out because of you!
"Oh, Jeez",Gerald,"No! [runs to the vault door] No, you've got to let me out of here! I'm not one of them! [pounds on the door in vain. The briefcases begin to beep]"
"Oh, Jeez",Anonymous 821,"[notices] Hey look, it's 9:30. The briefcases are about to go off. [When the briefcases pop open, they prepare to die, but they get rickrolled instead.]"
"Oh, Jeez",Scene Description,"Butters' room, night. Bill Clinton is still talking to Butters, who's still mad. They sit side by side on Butters' bed."
"Oh, Jeez",Bill Clinton,"What do you think you're gonna achieve, young man? Do you really think all this pickle-pressing is gonna get you anywhere?"
"Oh, Jeez",Butters,"Well, I'm just angry, Mr. Gentleman. I'm tired of girls saying boys need to change. Somebody has to stand up for our rights!"
"Oh, Jeez",Bill Clinton,"What happened, son? Did a girl break your heart?"
"Oh, Jeez",Butters,[suddenly tears up] No.
"Oh, Jeez",Bill Clinton,"I know. I know how hard they can be. But... somethin's about to happen that you aren't aware of. [stands up and walks off a bit] You see, Hell hath no fury like a woman scorned. And trust me, my wife is a crazy bitch. She and all the other women in the world are about to get payback. And we are all completely fucked. It's my fault, really. I've done things my whole life that gradually broke her spirit. And now that she's lost everything, let me assure you: she is piiiiiiiiiiiiiiiiiiiiiiiiiiissed. [walks back to the bed and sits down] Now, our only chance is to keep our heads low and act like we're changed men. Because, we're very close to the end."
"Oh, Jeez",Butters,The end? Of what?
"Oh, Jeez",Bill Clinton,"Women are sick of our shit, son. And soon, they're gonna know everything we've said and done online. And unless we start kissin' their asses, we're all gonna be put in a big chamber underground and milked for our semen."
"Oh, Jeez",Scene Description,"A hill in Hawthorne, California. Cartman and Heidi make their way to its crest."
"Oh, Jeez",Heidi,"Eric, we're so far from home."
"Oh, Jeez",Cartman,"We aren't gonna see home again, babe. We're gonna make it. There's no turning back."
"Oh, Jeez",Heidi,You really think there's hope?
"Oh, Jeez",Cartman,Yes. I do. [before them is SpaceX]
Members Only,Scene Description,Tom's Rhinoplasty. A government agent speaks with Bannon.
Members Only,Government agent,"The political world is watching, Bannon. [gives Bannon a file] We need to make sure the president elect has a smooth transition."
Members Only,Bannon,All indications are that his transition [flips a page] is going to be fine.
Members Only,Surgeon,"[walks by] We're just doing some finishing touches, but everything went well. You can see him now if you like."
Members Only,Caitlyn,I'll go.
Members Only,Scene Description,"Caitlyn walks into a technologically advanced room where Garrison is seen having a blond, push-back wig put on his head by a mechanical arm."
Members Only,Garrison,"[talks with Caitlyn] Well, do I look presidential?"
Members Only,Caitlyn,"Honestly, you look twenty years younger."
Members Only,Garrison,"They really worked on my stank face. Look! Whenever I don't know what people are talking about, I just do this, [lowers his body] like look. [shows his stank face] I can do this. [shows his stank face again] This is, this is my stank face. [shows a different stank face] It's like, I'm not listening to you, see? [shows his other stank face] They did a really good job on my stank lips."
Members Only,Caitlyn,It's an amazing transition.
Members Only,Garrison,"Now I feel ready to take care of business and do what really matters... [sits up straight] in just a minute, I'm gonna do the UV rays a bit longer."
Members Only,Scene Description,[the machine closes enseals Garrison]
Members Only,Scene Description,SpaceX. Cartman and Heidi walk to the desk.
Members Only,Secretary,Can I help you?
Members Only,Cartman,"Hello. I understand that you're trying to get to Mars. This is my girlfriend, Heidi. She's really smart and really funny."
Members Only,Secretary,...Okay.
Members Only,Cartman,We've given up social media and we'd like to be somewhere as far from the internet as possible. Is it true Mars would have really shitty Wi-Fi?
Members Only,Secretary,"...That'd be an understatement, yes."
Members Only,Cartman,"Well, we'd like to go. We can't tolerate this world anymore and we'd like to talk to whoever we can about getting to Mars as soon as possible please."
Members Only,Secretary,Uh-huh. Take a number and join the others.
Members Only,Cartman,What others?
Members Only,Scene Description,"[Cartman, Heidi, and the secretary turn their heads see a bunch of other people waiting, including Cher singing]"
Members Only,Cher,[garbled and auto-tuned] If I could turn back time...
Members Only,Cartman,"What the fuck, dude?!"
Members Only,Secretary,Lot of people want to leave the planet right now.
Members Only,Cartman,"Ah god dammit, is that Cher?!"
Members Only,Cher,"[garbled and auto-tuned] Do you believe in leaving the world, oh..."
Members Only,Scene Description,"South Park Elementary, principal's office."
Members Only,PC Principal,God [knocks down papers] dammit! [knocks down lamp] How the fuck did this happen?!
Members Only,Mackey,"[knocks the door and opens it] Uh, sorry PC Principal, but someone wants to speak with you."
Members Only,PC Principal,"I told you to leave me alone, Mackey! [slams fist on the desk] I'm not in the mood!"
Members Only,Mackey,"But, but sir, the president elect is here. [moves away from Garrison]"
Members Only,Garrison,"[enters the office with two Secret Service agents following him] So sorry for the intrusion. You're not too busy, I hope."
Members Only,PC Principal,"Uh, not at all. Please uh, have a seat, Mr. Garrison."
Members Only,Garrison,Excuse me?
Members Only,PC Principal,"Uh, please have a seat, Mr... President."
Members Only,Garrison,"That's better, bitch. [sits down and takes out a piece of gum]"
Members Only,PC Principal,"Certainly want to uh, congratulate you on the election."
Members Only,Garrison,"Do you remember the day you fired me, PC Principal?"
Members Only,PC Principal,"I know we've had some differences, uh..."
Members Only,Garrison,"I was upset because a bunch of immigrants were changing my class and I believe your response was that I needed to go and ""learn their language"", ""be more open-minded""."
Members Only,PC Principal,I'm sorry that your position here at the school was terminated.
Members Only,Garrison,"Are you really? [makes stank face] Are you really sorry? [makes different stank face] Because you see PC Principal, you helped create me. You insisted that I was a bigot, that I was an intolerant relic left over from another time. But now, I'm your president. And if there's one thing I've learned about becoming president, it's that your penis can get really dry. When all the skin on your penis is drying out from working so hard to get elected there's only one thing that can fix it, isn't there? Saliva, from a good friend who once doubted you. I need you to fix my problem, PC Principal, so that we can be even-stevens. What do you say, bud?"
Members Only,PC Principal,[is in complete shock]
Members Only,Scene Description,Outside of unknown club. Two people got out of the club. The berries head to a tiny door.
Members Only,Unknown berries,"Oh, 'member when it fell in her drink. Yeah, I 'member."
Members Only,Memberberry 1,'Member when Han shot Greedo?
Members Only,Memberberry 2,"Sure, I 'member Greedo."
Members Only,Tubbs,"Ha, I 'member Greedo."
Members Only,Memberberry 3,'Member?
Members Only,Memberberry 1,[knocks at the small door]
Members Only,Guard Berry,"[opens small window] What's the password, 'member?"
Members Only,Memberberry 3,"Yeah, I 'member."
Members Only,Memberberry 1,You 'member?
Members Only,Guard Berry,"I 'member. [opens the door, lets the berries in, and then closes the door immediately]"
Members Only,Scene Description,"Inside a Memberberry bar. Random berries keep on saying ""'Member""."
Members Only,Memberberry 1,"Ha ha, 'member this place? [hops away]"
Members Only,Memberberry 2,"Sure, I 'member. [rolls away]"
Members Only,Memberberry 4,[hops away] 'Member the Tantive IV?
Members Only,Memberberry 1,"Oh, I love that ship. [stops moving]"
Members Only,Memberberry 3,"[goes with the other berries and talks to an old berry] Hi, it's us, 'member?!"
Members Only,Don,"Ah sure, I 'member."
Members Only,Memberberry 4,"We did the thing with throwing Mickey in the drink, 'member?!"
Members Only,Don,"Ah sure, I 'member; just 'cause of youse, we won the election."
Members Only,Tubbs,"Yeah yeah, 'member?"
Members Only,Don,"Waiter, round of drinks for our heroes here, 'member?"
Members Only,Waiter Berry,I 'member.
Members Only,Don,"You done good poisoning the lady's drink. Now our man is in office, 'member? But I still have things I need you to do."
Members Only,Tubbs,"Hehe, hehe, I 'member."
Members Only,Scene Description,TrollTrace Headquarters: vault. Gerald repeatedly knocks on the exit door with all his might.
Members Only,Gerald,"Please, you have to let me outta here!"
Members Only,Dick,"Skankhunt, stop!"
Members Only,Bedrager,"[talks from above] Yes, please. You're making a very jackass of-a yourself."
Members Only,Gerald,[walks to see Bedrager's face]
Members Only,Bedrager,"Well well, what do we have here? Looks like your little troll-party."
Members Only,Troll 4,"You Danish pricks, you tricked us!"
Members Only,Bedrager,"We didn't trick you, your own government did. They thought if they handed you over to us we would agree not to go forward with the TrollTrace program."
Members Only,Gerald,You can't hold people prisoner! I haven't done anything! People are gonna be looking for me!
Members Only,Bedrager,"[takes out his phone] By all means, [tosses the phone to Gerald] contact whoever you want. Of course, you'll have to tell them why you're here."
Members Only,Dick,What are you gonna do with us?
Members Only,Bedrager,"We're going to use you to set the world on fire. When the servers go online, there will be chaos, panic, and war. And from the ashes, a new world will rise: a world where everyone is happy, and singing, and has no secrets, [yells] like Denmark! [punches a railing]"
Members Only,Dick,You think you can turn countries in the world against each other? Our president will never let that happen.
Members Only,Scene Description,Unknown supermarket. Garrison and Secret Service agents enter the store.
Members Only,Garrison,"Hey everybody! [walks to a checkout line, takes a mic, and hums ""Hail To The Chief""] Guess who's here? It's the President of the United Fucking States. [mic drop, then walks around the store] Oh, it's been a while since I've heard from you guys. Hi, Janice. [takes a small bottle of water from her shopping basket and opens it, tossing the cap away] Hello, Stephen."
Members Only,Stephen,[looks away] Mr. President.
Members Only,Garrison,"[walks around the store some more] I was just, you know, passing through the old neighborhood [checks out a tomato paste can from another shopper] thinking about what laws I might get rid of, when suddenly, out of nowhere, my penis got really dry. You know if they have anything at this store for a dry dick? Huh? No? You guys can't think of anything? Oh, I know. What about [points to] Eduardo Hernandez? I believe it was Eduardo who told me I couldn't double-bag my groceries, even though he's from fucking Guatemala. Well, what do you think now, Eduardo? You wanna double-bag somethin' else? [his phone rings, and he pulls out out of his back pocket to answer it] This is the President."
Members Only,First general,"Sir, we need you at the Pentagon. It's a matter of national security."
Members Only,Garrison,"Oh, really? I'm kinda busy right now, jeez."
Members Only,First general,"Sir, the Danish have released a statement. I'm afraid... we may be going to war."
Members Only,Garrison,War?
Members Only,Scene Description,"Ike's room, day. He's playing a first-person shooter game when a Skype call comes in."
Members Only,Gerald,"Ike?! Ike, buddy, can you hear me?! I need you to do something, okay? Daddy needs your help! I need you to go to your browser and sign on to the school message board, okay? Can you do that for me? The school message board and then log in. Lowercase S, skank-hunt-4-2. You got it?"
Members Only,Scene Description,The other trolls witness Gerald's actions.
Members Only,Dick,Wow.
Members Only,Anonymous821,"Wow, what?"
Members Only,Dick,He's gonna have his son sign in and troll for him.
Members Only,Gerald,"[covers his phone and faces the other trolls] If Skankhunt is still out there trolling, then they have the wrong guy! Get it?! It's called ""using your brain"", fatso!"
Members Only,Anonymous821,So they'll blame your kid?
Members Only,Gerald,"Nobody cares if a kid trolls! What are they gonna do, get a slap on the wrist?"
Members Only,Dick,[stands up] Didn't you hear what that guy said? They're gonna set countries against each other! We have way bigger problems!
Members Only,Gerald,"You don't know my fucking wife! [faces the phone] Ike, you got it? Great, pal! Okay, now I need you to go to the comment section, okay, and type in ""You should all get raped by gorillas"". You got that pal? Ike, ""You should all get raped by gorillas""! Come on, we have a lot of work to do here!"
Members Only,Scene Description,SpaceX. Heidi and Cartman sit next to each other on separate chairs.
Members Only,Cartman,"Jesus, I didn't think getting to Mars would take this long."
Members Only,Heidi,"You really think this is what we should do, babe? I gonna miss everyone."
Members Only,Cartman,"I know, but it'll be worth it, babe. We'll be left alone to make our new world better."
Members Only,Butters,"Hey, Eric! [seen right near Cartman]"
Members Only,Cartman,[speaks to Butters] What the hell are you doing here?
Members Only,Butters,"Well I want to get the fuck off this planet, but they told me I had to take a number."
Members Only,Cartman,"Oh no no no! You're a male chauvinist sexist pig, Butters. You don't get to go to Mars."
Members Only,Butters,"[shows complete fear] No, you don't understand. I've seen the light, I'm a changed man, I thought boys were being treated unfairly, but now I know... shit's about to get a lot worse."
Members Only,Scene Description,Outside of the White House. Memberberries start incoherent 'membering.
Members Only,Memberberries,"'Member The Fugitive? '[Millions of Memberberries are 'membering.]' 'Member Aliens? '[They begin to jump the fence]' Here we are! Ah, yeah! I 'member. Come on, everybody, 'member? '[The large group of Memberberries continue 'membering.]' 'Member snow speeders? '[They approach the front door.]' Yeah, I 'member! 'Member not hearing? '[They breach the front door and pour into the main foyer.]' 'Member the invasion of Hoth? Haha! 'Member ""you rebel scum""? I 'member! '[They fill the entire floor of the White House entrance.]' Oh, 'member the rebel transports? '[Thousands of Memberberries open the door to the Oval Office, and pour in.]'"
Members Only,Memberberry 1,"""We did it!"" 'Member? '[Five Memberberries take their place on the president's desk.]'"
Members Only,Memberberry 2,"Sure, I 'member!"
Members Only,Memberberry 3,What do we do now?
Members Only,Memberberry 4,Don't you 'member?
Members Only,Tubbs,"Ooh, I 'member."
Members Only,Scene Description,Ike's room. Ike sets up the profile photo of Mrs. Herrera and a penis in a small Photoshop tab while Gerald is on Skype.
Members Only,Gerald,"Okay now make sure the little worm is in the woman's mouth, got it?"
Members Only,Ike,[puts penis in photoshopped mouth]
Members Only,Gerald,"Now I need you to type ""You're a fat retard"" in the comments."
Members Only,Ike,"[types in the comment section] ""You're a retard."""
Members Only,Gerald,"No, you have to say ""a fat retard"", Ike! It's a nuance, but it's very important!"
Members Only,Ike,"[types in the comment section] ""You are a fat retard."""
Members Only,Sheila,[sees what Ike is doing and is in shock] Ike! What are you doing?!
Members Only,Ike,What he says.
Members Only,Gerald,[exits Skype chat]
Members Only,Sheila,"[walks into Ike's room and gets a closer look] It was you, all this time! What have you done, Ike?! Do you have any idea the damage you've caused?! How could my child be such a monster?! [answers the call on her phone] Yes yes, hello?!"
Members Only,Gerald,"[talks on his phone to Sheila] Hey sweetheart, how's everything going?"
Members Only,Sheila,"You have to come home from helping the government, Gerald! I just caught Ike trolling Mrs. Herrera!"
Members Only,Gerald,Are you serious?
Members Only,Sheila,"Yes! The school troll is our son, Gerald! You should see all the things he's posted on his computer!"
Members Only,Gerald,God dang it! Let me talk to him right now!
Members Only,Shelia,[hands her phone to Ike]
Members Only,Ike,Hello?
Members Only,Gerald,"Hey Ike, just stay calm and act like I'm yelling at you, okay pal? Okay, give it a few seconds, wait. Good. Okay, now--now say ""I'm sorry, dad. I guess I'm just fucked up inside""."
Members Only,Ike,No!
Members Only,Gerald,"Ike, you have to listen to me. On your mother's life, this is a matter of national security! You have to say ""I'm sorry, dad. I guess I'm just fucked up inside""!"
Members Only,Ike,[angrily] I'm sorry dad. I'm just fucked up inside.
Members Only,Gerald,"That was amazing, kiddo. It'll all be worth it, okay? I'll make this up to you. Give me back to your mom."
Members Only,Sheila,[takes her phone back] Gerald?!
Members Only,Gerald,"He's full of shit, he's not sorry! If he felt sorry, he wouldn't be able to do it in the first place!"
Members Only,Sheila,I know!
Members Only,Gerald,"I'm gonna get home as soon as I can to deal with this, okay? We can deal with this together. Just don't say anything to anyone for now, all right?"
Members Only,Sheila,"Okay. Okay yeah, I love you too. I know. Bye. [ends the call and talks to Ike] You just sit in here until we figure out what to do; and if you get back on that computer, you are done, you got it?! [leaves Ike's room]"
Members Only,Gerald,"[starts a Skype call on Ike's computer] Ike! Okay there's just a few more things I need you to do. I need you to type ""How'd you like a donkey dick?""."
Members Only,Scene Description,Pentagon. Garrison and four Secret Service agents walk to the general.
Members Only,First general,"[salutes] Welcome to the Pentagon, sir. I've been ordered to show you around. [turns around] This way, please."
Members Only,Garrison,"[follows the general] So I can do whatever the fuck I want in here now, right?"
Members Only,First general,"Yes, sir. Here are all [gives Garrison a folder of classified information] our military secrets and all classified information."
Members Only,Garrison,"[takes folder] Okay, good."
Members Only,First general,[stops everyone by the Drone Program entrance] This is the Drone Program. In there you can kill anyone on Earth remotely. Here's the keys. [gives keys to Garrison]
Members Only,Garrison,Thanks!
Members Only,Scene Description,[everyone continues walking]
Members Only,First general,In here is satellite surveillance where you can monitor anyone's conversation live.
Members Only,Garrison,Oh that will come in handy.
Members Only,First general,Extreme interrogation [stops everyone] room in case you find interrogation necessary.
Members Only,Garrison,"Oh hell yeah, it's necessary. Let's do it."
Members Only,First general,"[gives Garrison a briefcase] And here of course is the famous ""football"", where you could order a nuclear attack in four minutes. [walks away]"
Members Only,Garrison,Love me some football. [follows the general]
Members Only,First general,"[stops everyone by the Diplomatic Strategy entrance] And finally, in here, is the diplomatic strategy and negotiating room. [opens the doors, having everyone enter the room]"
Members Only,Scene Description,People in the room are noticing high alerts across the world.
Members Only,Garrison,"Well, jeez, this doesn't look very fun."
Members Only,Second general,Thank God you're here sir. We need your guidance.
Members Only,Scene Description,SpaceX. Butters sits next to Cartman by his left side.
Members Only,Butters,"Loolooloo, I've got some apples. Loolooloo, you've got some too."
Members Only,Cartman,"Butter, Butters! You expect people to believe that you went from being the biggest asshole in the school to a softhearted feminist like me? Fat chance."
Members Only,Butters,"No no, believe me. I'm a changed man. Girls are really smart, and they'll be running the country soon, and they deserve total respect."
Members Only,Cartman,"Yeah? You just forgot one thing, that women are funny too. That didn't occur to you, did it, Butters?"
Members Only,Butters,Well I don't think there was ever any question women are funny. Remember that movie 9 to 5 with Lily Tomlin and Dolly Parton?
Members Only,Heidi,"Oh yeah, that movie was funny."
Members Only,Butters,Well I laughed my butt off and it never even occurred to me that they were women. I don't know why things changed. I don't know why people make such a big deal about women and comedy now. I mean what about Carol Burnett? She was great.
Members Only,Heidi,"Wow, I guess you're right."
Members Only,Cartman,"Yeah, I mean, when women make vagina jokes I think it's the funniest thing ever!"
