Fourth Grade,The Adults,Aww Oooo!
Fourth Grade,Ms. Choksondik,What in God's name happened to him?
Fourth Grade,Chef,"Uuuh, Ms. Choksondik, Mr. Garrison had several uuh, eee-motional issues. He was a closet homosexual who hated gay people. Whenever someone asked him if he was gay, he'd go nuts."
Fourth Grade,Principal Victoria,And then he was accused of trying to solicit sex from a young boy.
Fourth Grade,Mr. Mackey,"After being dismissed from teaching, he went off to write romance novels. His first novel sold well and everything was fine until he found out that his novel won the gay Pulitzer Prize, and was considered the best homoerotic novel since Huckleberry Finn."
Fourth Grade,Principal Victoria,He finally snapped and had a nervous breakdown and... went up into the mountains to live in solitude.
Fourth Grade,Chef,"Some say that on cold nights you can still hear him moanin', ""I'm not gaaay! I'm not gaaay!"""
Fourth Grade,Mr. Garrison,[barely audible in the distance. The adults strain to hear] Iii'mmm nnnooottt gggaaayyy!!!
Fourth Grade,Ms. Choksondik,"And, nobody has found him?"
Fourth Grade,Mr. Mackey,"Well, we really haven't ll-looked."
Fourth Grade,Ms. Choksondik,I see. [a kitten walks up to her] Then the only way I'll find the secret to teaching these kids is to go up into those mountains and find Mr. Garrison myself!
Fourth Grade,Principal Victoria,But he could be anywhere up high in those mountains.
Fourth Grade,Ms. Choksondik,"Oh, I'll find him! Even if I have to climb up [arms spread out and raised to chest level] and up [raised to ear level] and up!"
Fourth Grade,"Chef, Victoria, Mackey",NOOO!!
Fourth Grade,Ms. Choksondik,[lowers upraised arms] What?
Fourth Grade,Scene Description,"South Park, a street. Timmy and the brunette are still on the open stretch of road"
Fourth Grade,Brunette,"Oh my God, Oh my God!"
Fourth Grade,Scene Description,"South Park, a street. A field reporter is on the scene"
Fourth Grade,Field Reporter,"Tom, I'm standing about two miles outside of Denver where the darling handicapped boy fights for his life on a wheelchair of death. [camera pulls back to show the nerds next to the reporter, and the boys across the street] Guys, can you tell us what kind of explosive we're actually dealing with here."
Fourth Grade,Nerd #1,"Uh, well, it's a simple hydrogen-fusion core with a veltig reactant-"
Fourth Grade,Timmy,"[while the blond nerd talks] Ah, please help!"
Fourth Grade,Nerd #2,Which just turned into a time bomb.
Fourth Grade,Timmy,Please help.
Fourth Grade,Nerd #1,This has never happened in all the 72 original Star Trek episodes.
Fourth Grade,Nerd #2,"Yah... wait, you mean 73 episodes."
Fourth Grade,Nerd #1,"...No, there were 72."
Fourth Grade,Nerd #2,No there weren't!
Fourth Grade,Nerd #1,"[pushes his friend away] Oh, you are such a nerd! [they start slapping each other around]"
Fourth Grade,Field Reporter,"[camera zooms in] Tom, I understand that now, the rescuers are gonna try and send in one of the handicapped boy's little friends, in an attempt to keep him calm and hopefully, disarm the device."
Fourth Grade,Scene Description,"South Park, a street. A SWAT truck full of rescuers passes Timmy and the brunette and slows down to wheelchair speed. Kenny is with them"
Fourth Grade,Hansen,"It's alright, everything's goin' tuh be fine."
Fourth Grade,Brunette,Oh my God!
Fourth Grade,Hansen,"[sets Kenny on a dolly and secures him] Alright, young man, when you get underneath that wheelchair, I want you to relay back to me with this walkie-talkie, and then I'll tell you which wires to cross. Ready?"
Fourth Grade,Kenny,"(Yes, sir!)"
Fourth Grade,Hansen,"Go below! [releases the winch. Kenny and the dolly make their way to Timmy, but they pass each other. Kenny keeps rolling down the road past Stan, Kyle, and Cartman]"
Fourth Grade,Kenny,"(Hi guys.) [keeps rolling until he trips over a manhole cover.] (Uh oh.) [the dolly lands on him] (Uff. I'm okay.) [the winch is suddenly yanked, and Kenny zips away] (I'm oKAAAYYYYYYY!!!) [the camera switches to Stan, Kyle, and Cartman looking in the direction of a terribly screechy sound. Soon, Kenny appears ripping up the road with his face, and he stops in front of them, dead]"
Fourth Grade,Stan,"Well, who didn't see that coming?"
Fourth Grade,Brunette,[camera back on the wheelchair] Oh my God! Oh my God!
Fourth Grade,Hansen,Stay calm! You have to stay calm! [Timmy looks up at him]
Fourth Grade,Brunette,[in a panic] But if we got off the chair it blows up!
Fourth Grade,Hansen,"No no, that's only if the boy gets off."
Fourth Grade,Brunette,Oh. [hops off and stands up] See ya!
Fourth Grade,Timmy,Timmih! [Hansen starts to work on the chair]
Fourth Grade,Pilot,"Ten seconds, Hansen!"
Fourth Grade,Stan,"...nine, eight..."
Fourth Grade,Timmy,[looks down at Hansen] Please-a help me.
Fourth Grade,Pilot,"...six, five..."
Fourth Grade,Timmy,Please help me. Please help me.
Fourth Grade,Hansen,"Got it! I think! Up, up! [the helicopter rises and takes him up with it]"
Fourth Grade,Timmy,"[upset] Timmay! [with a burst of speed the wheelchair accelerates, then disappears in a flare. Nothing remains of him. The rescuer is back in the helicopter looking down at the event with other rescuers, and the boys are on the curb shocked. The nerds are stunned, and the TV shows the site of the disappearance without comment]"
Fourth Grade,Nerd #1,"Hey, it did work. [the other nerd grins]"
Fourth Grade,Scene Description,"South Park, a tall mountain not unlike the Matterhorn, next day. Ms. Choksondik scales it, and reaches a plateau. Several cats follow her up. She sees a cave and approaches it, then enters"
Fourth Grade,Ms. Choksondik,"Hello-oo-ooo. [walks further in with a lit flashlight] Oh, what am I doing? I'm gonna get myself killed. [calls out] Is anyone here? [the beam falls on Mr. Garrison, now hunched over against a wall and with a full beard. Mr. Hat has a matching beard. Garrison hisses at her] Mister? Mr. Garrison?"
Fourth Grade,Mr. Garrison,Who-? Who are you? What do you want?
Fourth Grade,Ms. Choksondik,I am the new fourth grade teacher. I've come to... seek your help. [Garrison hisses at her again] Please. I don't know how to handle the new fourth graders. I've tried everything. I need to know how you taught them.
Fourth Grade,Mr. Garrison,"[hiding from the light] No! No, I... haven't... taught in over... eight... months. [the cats try to get at Ms. Choksondik's]"
Fourth Grade,Ms. Choksondik,"Mr. Garrison, you knew how to reach these kids! You're my only hope!"
Fourth Grade,Mr. Garrison,"Do you know what it is to be a teacher, Ms....?"
Fourth Grade,Ms. Choksondik,Choksondik.
Fourth Grade,Mr. Garrison,No I don't! [rushes up to her] IT'S A LIE! You see? That's what you get for bein' a teacher! You work and you work for the children and then people start rumors that you're gay even though you love poontang!
Fourth Grade,Ms. Choksondik,"Mr. Garrison, these children are depending on me to give them a future. I can't do it without your guidance. Please! Help me, for them! For the future of our children!"
Fourth Grade,Mr. Garrison,...Two hundred bucks.
Fourth Grade,Ms. Choksondik,...Done.
Fourth Grade,Scene Description,"The basement of the two college guys, after school. The boys show up again. Much of the stuff that was in the basement is gone. Soon, it is shown that the second nerd has moved out"
Fourth Grade,Stan,Dude! You gotta build us another time machine!
Fourth Grade,Nerd #1,Huh? Oh... Can't.
Fourth Grade,Kyle,"What do you mean, ""can't""?! You made it work; just build us another one!"
Fourth Grade,Nerd #1,"I can't, because pizza-face isn't here! We're not on speaking terms! We got in a big fight and he moved all his stuff out!"
Fourth Grade,Stan,W-what did you get in a fight about?
Fourth Grade,Nerd #1,There's 73 original Star Treks! He keeps saying there's 72!
Fourth Grade,Stan,"Oh, Jesus Christ! You've got to be kidding me!"
Fourth Grade,Nerd #1,No! He actually thinks there's 72.!
Fourth Grade,Cartman,"Look, dude, can't you just build us another machine without him?"
