The Pandemic Special,Clyde,Good morning.
The Pandemic Special,Stan,"If they're letting us go back to school, then soon we can get back to everything! I mean, doesn't this mean things are finally going back to normal? Dad?"
The Pandemic Special,Randy,I gotta go! [runs through the kitchen]
The Pandemic Special,Scene Description,"Walt Disney Co., Burbank, CA., day. In the corporate office, Mickey is fielding calls"
The Pandemic Special,Mickey,"Then sell fucking Epcot Center! If we can't get people on the rides, then sell the fuckin' thing! [hangs up that phone and switches to another] Nonono! I said MORE Mandalorian! [hangs up that phone] Jesus Christ! We're fucking dying here! [answers his cell phone] What?! Fucking what?! Haha."
The Pandemic Special,Randy,"Hey, it's Randy Marsh From, from Tegridy Farms?"
The Pandemic Special,Mickey,"What do you want, Marsh?! I'm in the fuckin' weeds here!"
The Pandemic Special,Randy,"Look, um, do you remember when we fucked that bat in Wuhan?"
The Pandemic Special,Mickey,I've fucked a lot of bats!
The Pandemic Special,Randy,"Well, I've only fucked one! I remember. Right after, I got really sick, and this was all back in October."
The Pandemic Special,Mickey,"Jesus Christ, you fucker! You started all this!"
The Pandemic Special,Randy,You told me to fuck the bat!
The Pandemic Special,Mickey,You didn't quarantine yourself after you got home?!
The Pandemic Special,Randy,"Nobody knew anything about COVID when I fucked the bat! I thought I just came back from China with the flu! Look, we can't let scientists find that bat. My wife is crazy. If she finds out I started the pandemic, she's gonna be a total bitch about it. [Mickey is stunned]"
The Pandemic Special,Scene Description,The neighborhood. Cartman runs through it with his 6-foot pole. A couple walks their toy dog; he jabs the male aside with his pole. A jogger goes towards a park exit; he jabs him aside with his pole. He reaches Kyle's house and knocks on the door. Then he bangs on the door with the pole. Then he throws the pole through Kyle's bedroom window. Kyle opens the front door
The Pandemic Special,Cartman,"Dude, you are not gonna believe this."
The Pandemic Special,Kyle,What are you doing here??
The Pandemic Special,Cartman,"[barges in] Is your dad home, Kyle? We need to talk to a lawyer! Mr. Broflovski?!"
The Pandemic Special,Kyle,"Dude, get out of my house! If you wanna talk, we can go outside!"
The Pandemic Special,Cartman,They're gonna try and make us go back to school.
The Pandemic Special,Kyle,"[covers his mouth and nose under his jacket] Dude, you could be spreading germs! [backs away]"
The Pandemic Special,Cartman,"Maybe you didn't hear me, Kyle! They want us to go back. To school!"
The Pandemic Special,Kyle,So?
The Pandemic Special,Cartman,"""So?"" What the fuck is-? You really wanna go back to that slavery?!"
The Pandemic Special,Kyle,I want an education! I want to be able to compete for a job when I get older!
The Pandemic Special,Cartman,"You crazy, psychotic... Kyle, we need to get a lawyer to stop schools from forcing us back! Now, whatever your messed-up beliefs are about ""wanting to go to school"""
The Pandemic Special,Kyle,You really wanna spend the next year on Zoom?
The Pandemic Special,Cartman,"You don't have to be on Zoom, there's a million ways around it! Mark my words, Kyle: first they'll force us back to school, then they'll take social distancing away from us completely, and I'll be out of my room having to hang out with you!"
The Pandemic Special,Kyle,You're out of your room hanging out with me now!
The Pandemic Special,Cartman,[realizes this] Oh my God. They won't get away with this!
The Pandemic Special,Scene Description,"South Park, day. Randy walks down Main Street with his mask on, deep in thought. He hears a woman sobbing. He looks over to see an elderly woman weeping as her husband is carried out on a gurney into an ambulance. He walks by the town cemetery, where he sees a casket lowered into the ground. He then sees something that astonishes him: Red Robin going out of business due to COVID-19. As booth benches are being carried into trucks, Death appears and points to the interior. Randy turns away and cries silently"
The Pandemic Special,Man with Orange Shirt,"Hey! Excuse me [Randy turns to see him, and he approaches], y-you're Randy Marsh, right?"
The Pandemic Special,Randy,Uh... m-maybe.
The Pandemic Special,Man with Orange Shirt,"Yeah. Look man, I just wanna say thanks, you know? The Pandemic special is really amazing."
The Pandemic Special,Randy,Oh yeah. Cool. Thank you.
The Pandemic Special,Man with Orange Shirt,"Nono, listen. You... you're awesome! All this horrible stuff going on and... well, you come along and try to fight it!"
The Pandemic Special,Randy,"Okay, thanks."
The Pandemic Special,Man with Orange Shirt,"Y-you see, I... I lost my wife... to the virus. My kids, I... I don't even know how to talk to them, you know. Just... just thank God for your Pandemic Special. Thank God. It's a great special, it really is."
The Pandemic Special,Randy,Okay.
The Pandemic Special,Man with Orange Shirt,"No, it's an awesome special. And i-and it was a great idea to do a special."
The Pandemic Special,Randy,"Okay okay, just stop! [runs away]"
The Pandemic Special,Scene Description,Mr. Mackey's home office. He's on a Zoom meeting with the parents
The Pandemic Special,Mr. Mackey,"M'kay, welcome, parents, to this all-school town meeting to talk about how we're gonna get your kids back into the classroom. Can everyone hear me okay? [parents all replying] Okay, well, parents, we've made some amazing adjustments and hirings, m'kay? We believe we can welcome students back on Monday. M'kay?"
The Pandemic Special,Sheila,How are you going to do this?
The Pandemic Special,Stephen,"Yeah, what happens when my son is sitting in a room with Craig Tucker, whose father doesn't even wear a mask outside?"
The Pandemic Special,Thomas,"Oh, here we fucking go again! Stop mask shaming, Stotch!"
The Pandemic Special,Stephen,"Well, it's really not a mask if you wear it down around your chin. That's a chin diaper."
The Pandemic Special,Thomas,There's no real proof that a mask even fuckin' does anything!
The Pandemic Special,Stephen,Spoken like a true redneck!
The Pandemic Special,Carol McCormick,"Oh, fuck you! [everyone starts talking over each other. One of them says ""That's not fair!""]"
The Pandemic Special,Mr. Mackey,"Okay. Okay, everyone. Alright. [presses a key on his computer to mute everyone else's microphone] Mmkay! I just muted everybody! Okay! Now, if we don't get along, I'll just sit here with you all on mute! [no one on screen is moving] Okay, now let's try this again. [presses a key and the mics are back on]"
The Pandemic Special,Mrs. Tweek,I saw Wendy's mother not wearing a mask in the changing room at Ross.
The Pandemic Special,Mrs. Testaburger,The fuck are you doing spying on me in the changing room?! I was at Ross- [accusing resumes]
The Pandemic Special,Mr. Mackey,"Okay, BOOM! [silences the mics again] You're all muted! Mmkay?! I can do this all day! Now, we've made changes at the school, and we feel prepared to welcome your students back! [Roger Donovan raises his hand] Mr. Donovan!"
The Pandemic Special,Roger,"I don't care what changes you've made, my son Clyde is not going to class!"
The Pandemic Special,Mr. Mackey,"And that is your prerogative. Mute! [mutes Roger, unmutes Sharon] Mmkay, Mrs. Marsh."
The Pandemic Special,Sharon,I thought that the issue was the teachers not coming back.
The Pandemic Special,Mr. Mackey,"That is correct. Our teaching staff does not feel safe to return, BUT... we have hired all new teachers, m'kay? These are people who have recently lost their jobs due to recent events and are desperate for work. Mmkay, so they'll do just about anything."
The Pandemic Special,Stephen,What new teachers?
The Pandemic Special,Scene Description,"South Park, day. The police force is now the new teaching staff. Harrison Yates addresses them outside the police station"
The Pandemic Special,Yates,"Alright, men! As you all know, due to recent events totally beyond our control, we have lost most of our funding. But this new venture will be great. and I know we will all thrive as elementary schoolteachers. This might be our last chance at a job, so I don't want any unnecessary deaths. [the officers groan ""Awww!""] Ahp! Ahp! No unnecessary deaths! And let's show this town just what great leaders we can be. This is gonna be great."
The Pandemic Special,Scene Description,"Tegridy Farms, day. Sharon gives Shelly and Stan their lunches"
The Pandemic Special,Anchor Tom,"All over South Park this morning, children are getting ready for their first day of class. And as they do, scientists say they're closer to finding a vaccine."
The Pandemic Special,Stan,Oh cool! Turn it up!
The Pandemic Special,Bill Keegan,"Tom, I'm standing in front of the newly built viral research center where scientists say they have found the animal which started the coronavirus. [some lab scientists are shown working on samples] The creature was located in China and then flown to the facility here, where scientists are studying it thoroughly."
The Pandemic Special,Randy,"[peaks in upon hearing the report] Heyheyhey, whoa whoa! W-what are you guys doing?!"
The Pandemic Special,Stan,They think they're about to find the vaccine.
The Pandemic Special,Chief Scientist,"Yes, now that we have the animal in our possession, we'll finally be able to unlock what caused a virus to jump from it to humans."
The Pandemic Special,Randy,[stands in front of the TV] Does it matter what started coronavirus?! Who cares what started coronavirus?! You guys are being racist! We don't need to watch this! Where's the remote? [begins looking all over the sofa] This is... this is racist television and we're not gonna watch it! [checks out the sofa on either side of Sharon]
The Pandemic Special,Sharon,"I want to hear this, Randy!"
The Pandemic Special,Randy,"No! No. You know what? You guys are horrible! Just, just stop it right now!"
The Pandemic Special,Bill Keegan,"You traced the virus to Wuhan, but what you found was not a bat. Is that correct?"
The Pandemic Special,Chief Scientist,"Nono, the virus did not come from a bat."
The Pandemic Special,Randy,You guys- [stops mid-sentence] What? What did he say?
The Pandemic Special,Chief Scientist,We were able to break down the virus enough to see there was actually no bat involved.
The Pandemic Special,Randy,No bat involved. No bat involved! [dances around gleefully] Oh yeah! Oh yeah! It wasn't a bat! It wasn't a bat! It wasn't a bat! In your face! In your face! It wasn't a bat!
The Pandemic Special,Chief Scientist,"When we tracked the virus, we found it did originate in Wuhan, but from a species called pholidota."
The Pandemic Special,Bill Keegan,And what exactly is pholidota?
The Pandemic Special,Chief Scientist,"It's a pangolin. And here it is, right over here. [Bill Keegan and the Chief Scientist walk over to a cage holding the pangolin]"
The Pandemic Special,Stan,"What' a pangolin, Mom?"
The Pandemic Special,Sharon,"I'm not even sure. Do you know what a pangolin is, Randy? [Randy is lost in a memory] Randy?"
The Pandemic Special,Stan,"Do you know what a pangolin is, Dad?"
The Pandemic Special,Scene Description,"Randy flashes back to his time in China with Mickey. They're in the back seat of a taxi, tired"
The Pandemic Special,Mickey,"Haha haha. Dude, I still can't believe you fucked that bat. Haha."
The Pandemic Special,Randy,"Okaaay, okaaay, Shhhh."
The Pandemic Special,Mickey,Haha. You really let her have it! Oh boy!
The Pandemic Special,Randy,"Okay! I don't wanna think about that right now, Mickey!"
The Pandemic Special,Mickey,"I'm just impressed, that's all. I mean, if you can handle a bat, then..."
The Pandemic Special,Randy,Then what?
The Pandemic Special,Mickey,You ever have sex with a pangolin?
The Pandemic Special,Randy,What the fuck is a pangolin? [Mickey tells the driver in Chinese to stop]
