"Are You There God? It's Me, Jesus",Stan,So you guys aren't gonna spend New Year's Eve with us?
"Are You There God? It's Me, Jesus",Cartman,"Look, Kenny and I are mature now. We can't spend New Year's Eve with a couple of kids. Did you get your Maxi pads, Kenny?"
"Are You There God? It's Me, Jesus",Kenny,(No. All I could get was a couple of tampons.)
"Are You There God? It's Me, Jesus",Cartman,Tampon? What's a tampon?
"Are You There God? It's Me, Jesus",Kenny,"(See, a tampon is what you stick up your ass so you don't bleed.)"
"Are You There God? It's Me, Jesus",Cartman,"Ew, doesn't that hurt?"
"Are You There God? It's Me, Jesus",Kenny,(A little.)
"Are You There God? It's Me, Jesus",Kyle,"[rushes up quite excited] You guys! I got my period, too!"
"Are You There God? It's Me, Jesus",Cartman,"Wow, cool!"
"Are You There God? It's Me, Jesus",Stan,[frightened] You did?
"Are You There God? It's Me, Jesus",Kyle,"Yeah! [Stan looks down sadly] I was just hanging out in my room, and then I perioded all over the place."
"Are You There God? It's Me, Jesus",Cartman,"All right! You have to be in me and Kenny's club, then. My mom gave me this ""Women Who Run With The Wolves"" book and I'm finding out all about our goddess powers."
"Are You There God? It's Me, Jesus",Kyle,Awesome! We get powers?
"Are You There God? It's Me, Jesus",Cartman,"Yeah! Come on, we can set everything up in my clubhouse and get ready for New Year's Eve! [Stan is left alone, but Cartman returns] Hey, don't feel bad, Stan. Some of us just mature a little later than others. [walks away]"
"Are You There God? It's Me, Jesus",Scene Description,"Stan's room, night. He's ready for bed, but sits at his desk with pencil and paper at the ready. He picks the pencil up and writes"
"Are You There God? It's Me, Jesus",Stan,"Are you there, God? It's me, Stan. If you wouldn't mind, I don't wanna be the only kid who doesn't get his period before the new year. Could you speed up my development a little? Thanks, God. Your friend, Stan [He sets his pencil down and goes to bed]"
"Are You There God? It's Me, Jesus",Scene Description,"Jesus' house, outside, night. The camera crews and crowd keep vigil. One window on the house is lit from within"
"Are You There God? It's Me, Jesus",Jesus,"Are you there, God? It's me, Jesus. I feel like I've got a real shot at a comeback, God. For whatever reason, people are starting to follow me again. I'm 2000 years old, but I feel like I'm 28 again! I think I'm going to win everybody back, because I just made a few phone calls, and I'm going to put on the most amazing New Year's spectacle this world has ever seen!"
"Are You There God? It's Me, Jesus",Scene Description,"The Marsh house, Stan's room, day. An alarm goes off, and Terrance and Phillip are heard."
"Are You There God? It's Me, Jesus",Phillip,"[a rooster crows] Oh God, you're smelly!"
"Are You There God? It's Me, Jesus",Announcer,"Good morning, South Park, it's 8 a.m., [Stan awakens] and only two more days until the new millennium! [Stan moves towards the radio, than away from it, then hides under the covers, then sprints for the restroom. Quickly, he lowers his pajamas and briefs]"
"Are You There God? It's Me, Jesus",Stan,Dammit! Dammit dammit dammit!
"Are You There God? It's Me, Jesus",Sharon,"Stanley, honey, what's the matter?"
"Are You There God? It's Me, Jesus",Stan,[sobbing] I'm not bleeding out my aahass!
"Are You There God? It's Me, Jesus",Sharon,"Well, that's good, honey."
"Are You There God? It's Me, Jesus",Stan,"No it's not! It's terrible! [Sharon looks worried. Stan returns to his bed and prays] Are you there, God? It's me, Stan. How come you didn't help me? I know you're really busy with things, but this is a matter of life and death. If I don't get my period, my friends won't let me hang out with them on New Year's Eve. Please, please give me my period soon."
"Are You There God? It's Me, Jesus",Scene Description,"Jesus' house, day, one day before New Year's eve. The camera crews and crowd keep vigil. A woman yawns, and the front door opens again"
"Are You There God? It's Me, Jesus",Jimbo,Here he comes!
"Are You There God? It's Me, Jesus",Mr. Garrison,He's coming out!
"Are You There God? It's Me, Jesus",Jesus,"[steps out and closes the door] ...I have given it much thought, my children, and you are right. After reviewing the Bible, it does indeed say that something very big is going to happen at the millennium. [the crowd cheers and jumps for joy] I have spoken to my Father in heaven, and he agreed that the millennium is significant to all of us. And ye who believe in me SHALL be rewarded! [more cheering and jumping] So what we're going to do tomorrow night, New Year's Eve, 1999: we just got ROD STEWART to agree to play a comeback concert at the Rio Hotel and Casino in Las Vegas, and you're all going! [...silence]"
"Are You There God? It's Me, Jesus",Man,"...We knew you could do it, Jesus! [the crowd begins to cheer again, and Jesus grins]"
"Are You There God? It's Me, Jesus",Mr. Garrison,"Well, I'd better book my ass a flight to Vegas! [hurries away]"
"Are You There God? It's Me, Jesus",Fr. Maxi,[beings to sing. Others step aside] For he is Savior For he is Lord
"Are You There God? It's Me, Jesus",Crowd,He gives me hope when I have only been bored And he lifts me up with His gentle arm...
"Are You There God? It's Me, Jesus",Scene Description,"The Ewok Village 2000. Cartman, Kyle, and Kenny sit in a circle with candles next to them."
"Are You There God? It's Me, Jesus",Cartman,"[wearing a bandana and flowers] Okay, is everyone accounted for? Goddess Wind?"
"Are You There God? It's Me, Jesus",Kyle,[with bandana and leafy wings] Here.
"Are You There God? It's Me, Jesus",Cartman,Goddess Moon? Goddess Moon?!
"Are You There God? It's Me, Jesus",Kenny,"[with fine pendant on his hood and purple cape] (Dammit, here!)"
"Are You There God? It's Me, Jesus",Cartman,"And I'm here, Goddess Earthly Delight. So this is the first meeting of our club for teens who have gotten their periods. We're supposed to talk about our periods. And boys. Let's talk about boys first. I think Craig is pretty cool, but I don't think Clyde is very cool."
"Are You There God? It's Me, Jesus",Kyle,"I think Clyde is kind of cool, but Craig is definitely cooler than Clyde."
"Are You There God? It's Me, Jesus",Kenny,"(Yes, I agree. I think Craig is a thousand times as cool as Clyde. There doesn't really seem to be a doubt.)"
"Are You There God? It's Me, Jesus",Cartman,"Okay, that settles that. Now let's talk about our periods. Kyle, you first."
"Are You There God? It's Me, Jesus",Kyle,Oh. Ah-ah. Ah-uh-m-m.
"Are You There God? It's Me, Jesus",Cartman,"What's the matter, Kyle?"
"Are You There God? It's Me, Jesus",Kyle,"Nothing. Um [clears his throat], my period is really uuuh... [Cartman looks on skeptically] Uuuh, my period is going swimmingly."
"Are You There God? It's Me, Jesus",Cartman,"...Okay, that makes sense. Mine is going swimmingly, too."
"Are You There God? It's Me, Jesus",Kenny,(And mine too.)
"Are You There God? It's Me, Jesus",Kyle,[sighs] Phew.
"Are You There God? It's Me, Jesus",Scene Description,Chef's house. Stan walks up and knocks
"Are You There God? It's Me, Jesus",Chef,"[opens the door] Oh, hello Stan."
"Are You There God? It's Me, Jesus",Stan,"[despondent] Hey, Chef."
"Are You There God? It's Me, Jesus",Chef,How's it going?
"Are You There God? It's Me, Jesus",Stan,Bad.
"Are You There God? It's Me, Jesus",Chef,Why bad?
"Are You There God? It's Me, Jesus",Stan,Can I come in?
"Are You There God? It's Me, Jesus",Chef,"Well, sure. [Stan enters and Chef closes the door. They sit on the sofa] Now, what's the matter, little cracker?"
"Are You There God? It's Me, Jesus",Stan,"Chef, I have ...this friend, see? And this person is really bummed out, because everyone else the same age has gotten their period, and this person hasn't."
"Are You There God? It's Me, Jesus",Chef,"OOH, you're talkin' about your older sister, Shelly."
"Are You There God? It's Me, Jesus",Stan,No.
"Are You There God? It's Me, Jesus",Chef,"Your little girlfriend, Wendy."
"Are You There God? It's Me, Jesus",Stan,"Look, it doesn't matter who it is. The point is that everyone else got their period and this person hasn't."
"Are You There God? It's Me, Jesus",Chef,"Look, Stan. Do you really know what a period is?"
"Are You There God? It's Me, Jesus",Stan,"Yeah, Cartman told us."
"Are You There God? It's Me, Jesus",Chef,"Stan, let me sing you a little song about the menstrual cycle. I think it might clear things up for you. [gets up and faces him]"
"Are You There God? It's Me, Jesus",Stan,Okay.
"Are You There God? It's Me, Jesus",Chef,"Ooo baby, yeah baby, ooo baby. Yeah baby, yeah baby, now baby. Ooo yeah, yes yes baby Yeahyeahyeah, uh-huh baby now Agh! Agh! Awww! No, baby! Ewww, baby! No, no! Alright now—I'm alright, I'm-I'm cool, it's okay. Uh alright, watch out for the bedspread, baby. Look out now, it's- alright, I'll tell you what. Uuh, how about uuh, uh. Why don't I call you next week? And that's my song about the menstrual cycle, Stan. Did that clear things up for you?"
"Are You There God? It's Me, Jesus",Stan,"[thinks] ...So what you're saying is, this person shouldn't be bummed because everybody has their period at a different time."
"Are You There God? It's Me, Jesus",Chef,...Is that what I said?
"Are You There God? It's Me, Jesus",Stan,"But it's not fair! It's not fair that one day you're on top, that you're the coolest kid in town, and then the next day you're at the bottom again, 'cause everyone has blood coming out their ass but you, and if I can't menstruate, then by God, I'm not gonna sit around and be the only periodless 8-year-old boy! I'm gonna do something about it! [hops off and heads out the door.]"
"Are You There God? It's Me, Jesus",Chef,Whoa! I musta missed a WHOLE middle part there.
"Are You There God? It's Me, Jesus",Scene Description,"Rod Stewart's mansion, day. Jesus sits on a leather sofa with Stewart's agent. Around them are Grammys, some pictures of Stewart and framed gold records"
"Are You There God? It's Me, Jesus",Agent,"I can't tell you how excited Rod Stewart is about this millennium concert. He's gotten a little older, but you're gonna see how much he can still rock."
"Are You There God? It's Me, Jesus",Jesus,"Hoh, I'm excited too. I think it will bring my Father's children back to their faith and back to mine eyes, for I an the Lamb of God."
"Are You There God? It's Me, Jesus",Agent,"Yeah t-and uh, you know, Rod is a seasoned veteran, so I'm gonna have to ask for a bit more cash, but we could talk about that later; here comes Rod now. [some double doors open, and a nurse wheels Rod into the room]"
"Are You There God? It's Me, Jesus",Rod,Hullo-o-o.
"Are You There God? It's Me, Jesus",Jesus,"[surprised, but quickly recovers and shakes Rod's hand] Hey, Rod, great to see you."
"Are You There God? It's Me, Jesus",Rod,Oh.
"Are You There God? It's Me, Jesus",Jesus,"Uh, the folks are sure glad you're playing. It's really given them a lot of faith in me again. I'm sure that together, we can make this millennium party the best New Year's bash ever!"
"Are You There God? It's Me, Jesus",Rod,Pooped pants.
"Are You There God? It's Me, Jesus",Jesus,What?
"Are You There God? It's Me, Jesus",Rod,Pooped pants.
"Are You There God? It's Me, Jesus",Jesus,Poo pants?
"Are You There God? It's Me, Jesus",Rod,Pooped 'nmuh pants.
"Are You There God? It's Me, Jesus",Jesus,"Uh, you pooped your pants?"
"Are You There God? It's Me, Jesus",Rod,Pooped in my pants.
"Are You There God? It's Me, Jesus",Jesus,Oh Uh-n nurse? Mr. Stewart has apparently pooped his pants?
"Are You There God? It's Me, Jesus",Nurse,"Again?! [turns Rod around to wheel him away] Now, Mr. Stewart, what did we say about trying to hold in Mr. Dookie? [exits with Rod. Jesus can only look on, shocked]"
"Are You There God? It's Me, Jesus",Scene Description,"Genetic Engineering Ranch, night"
"Are You There God? It's Me, Jesus",Dr. Mephesto,"[leading Stan into the lab] Yes, puberty is a very wonderful thing, Stan. It's what links us all together, makes us one."
"Are You There God? It's Me, Jesus",Stan,But what happens if there's someone who never went through puberty.
"Are You There God? It's Me, Jesus",Dr. Mephesto,Never went through puberty? Who never went through puberty?
"Are You There God? It's Me, Jesus",Stan,"Nn-nobody! I mean, uh, well, m-my dad."
"Are You There God? It's Me, Jesus",Dr. Mephesto,Your father never went through puberty?
"Are You There God? It's Me, Jesus",Stan,"No. And uh, that's why he sent me here; 'cause he's too embarrassed to come himself."
"Are You There God? It's Me, Jesus",Dr. Mephesto,"Oh, I can't say that I blame him."
"Are You There God? It's Me, Jesus",Stan,So do you know anything that can help him?
"Are You There God? It's Me, Jesus",Dr. Mephesto,"Well, I should think the most logical solution would be... hormones."
"Are You There God? It's Me, Jesus",Stan,Hormones? [smiles. Mephesto takes him to the medicine cabinet]
"Are You There God? It's Me, Jesus",Dr. Mephesto,"Yes! [removes a bottle of PURE HORMONES] Here, and tell your father to take just one of these pills every week. It could be just what he needs. And be sure to tell him that his secret is safe with me."
"Are You There God? It's Me, Jesus",Stan,"Thanks a lot, Dr. Mephesto. You're the best! [walks away with the bottle]"
"Are You There God? It's Me, Jesus",Dr. Mephesto,My pleasure. I just love helping people.
"Are You There God? It's Me, Jesus",Scene Description,"Genetic Engineering Ranch, outside. Stan looks at the bottle and reads the prescription: ""one tablet weekly."" He pops the lid off... One tablet falls, and then the empty bottle."
"Are You There God? It's Me, Jesus",Scene Description,"The Ewok Village 2000, next day. Cartman, Kyle, and Kenny have reassembled."
"Are You There God? It's Me, Jesus",Cartman,"Now, for our first club activity, we're supposed to reach into this little dish and pull out a word. We look at the word and think about what that word means to us. [tips the bowl towards Kyle, who reaches in and takes a slip of paper]"
"Are You There God? It's Me, Jesus",Kyle,"[unfurls and reads] Okay. Today's word is ""spirituality."" What that means to me is uh- [thump. The three look up]"
"Are You There God? It's Me, Jesus",Stan,"[outside, below] Hey assholes! [the three rise and head for a window]"
"Are You There God? It's Me, Jesus",Cartman,"Oh, look. It's that little boy who hasn't gotten his period yet."
"Are You There God? It's Me, Jesus",Stan,[now with some facial hair] Don't you worry about that! I've started taking hormones!
"Are You There God? It's Me, Jesus",Kyle,Hormones?
"Are You There God? It's Me, Jesus",Stan,"Yeah, they make you have your puberty quicker. And I'm just here to tell you that my puberty is gonna be bigger than any of you guys's!"
"Are You There God? It's Me, Jesus",Kyle,"Dude, I don't think 8-year olds are supposed to take hormones."
"Are You There God? It's Me, Jesus",Cartman,"Yeah, you shouldn't force your period, Stan. You should let it come, like the morning dew."
"Are You There God? It's Me, Jesus",Stan,So what are we gonna do for New Year's?
"Are You There God? It's Me, Jesus",Cartman,"Well, we're going with our families to Las Vegas. I guess there'll be some younger kids there, too, if you wanna go."
"Are You There God? It's Me, Jesus",Stan,[voice breaking] Aaaargh. I'm gonna go take some more hormones. [walks away. The other three withdraw and resume their discussion]
"Are You There God? It's Me, Jesus",Cartman,"Now, the word is ""spirituality."" I believe that the goddess in me is my spirituality because she-"
"Are You There God? It's Me, Jesus",Kenny,(Ooooowwwwwwwhh.) [leans forward in pain]
"Are You There God? It's Me, Jesus",Cartman,"Quiet, Kenny. The goddess lives in all of us and has-"
"Are You There God? It's Me, Jesus",Kenny,(Oh- ooowww!)
"Are You There God? It's Me, Jesus",Cartman,"Goddammit, Kenny, shut the hell up!"
"Are You There God? It's Me, Jesus",Kenny,(Aaaaaa!) [falls back and passes out. Blood spews up from his mouth]
"Are You There God? It's Me, Jesus",Kyle,"Whoa, dude!"
"Are You There God? It's Me, Jesus",Scene Description,"Hell's Pass Hospital. An ambulance is parked outside. Inside, the McCormick parents sit in the waiting room holding hands"
"Are You There God? It's Me, Jesus",Dr. Doctor,Mr. and Ms. McCormick.
"Are You There God? It's Me, Jesus",McCormick Parents,Yes?
"Are You There God? It's Me, Jesus",Dr. Doctor,I'm sorry. We... couldn't save your son.
"Are You There God? It's Me, Jesus",Ms. McCormick,"[sobbing] Oh my God, my little Kenny's gone. I can't believe it."
"Are You There God? It's Me, Jesus",Dr. Doctor,We just didn't get to him in time. There's nothing we could do.
"Are You There God? It's Me, Jesus",Stuart,"What happened? What killed him, doctor?"
"Are You There God? It's Me, Jesus",Dr. Doctor,"Well, we found a... tampon stuck up your child's ass. Apparently, he'd had it up there for several days. It plugged him up until he finally burst from the inside out like a ruptured septic tank."
"Are You There God? It's Me, Jesus",Ms. McCormick,[sobbing] Oh my God.
"Are You There God? It's Me, Jesus",Dr. Doctor,My worry is that he could have been following some kind of crazy new fad. Perhaps the children are all shoving tampons up their ass because they've seen the Backstreet Boys doing it on TV or something.
"Are You There God? It's Me, Jesus",Ms. McCormick,[sobbing] Gi-ih [gulp]
"Are You There God? It's Me, Jesus",Dr. Doctor,"We must get to the bottom of this! ...if you'll pardon the pun. But actually, right now, I've got to catch a plane to Las Vegas to see the Rod Stewart Millennium Show."
"Are You There God? It's Me, Jesus",Stuart,Rod Stewart's gonna be in Vegas?
"Are You There God? It's Me, Jesus",Scene Description,"Las Vegas, night. Klieg lights search the sky as a large crowd gathers for the concert. Craig Netzel is on scene"
"Are You There God? It's Me, Jesus",Netzel,"Tom, I'm here live in Las Vegas, where tomorrow night THE New Year's Eve event is going to happen. Jesus Christ, our Lord and Savior, is presenting Rod Stewart, the undisputed King of Pop, right here at this hotel behind me. [tents and stands pepper the grounds. Some of them have been seen in South Park before] It looks as though Jesus really has come through. [Jesus is in his room looking at the report] Everyone is very excited, because rumor has it that God Himself is gonna show up to the event."
"Are You There God? It's Me, Jesus",Jesus,[shocked] What??
"Are You There God? It's Me, Jesus",Netzel,"How about you, ma'am? Do you think God is gonna show up tomorrow night?"
"Are You There God? It's Me, Jesus",Ma'am,[in party hat] Of course he is. This is Jesus we're talking about. He wouldn't let us down.
